Date,Open,High,Low,Close,Volume
03/01/2021,"108.53","109.21","108.07","108.41","4,710,324"
02/26/2021,"107.68","108.58","105.36","107.74","9,249,970"
02/25/2021,"108.48","109.30","107.07","107.33","6,237,641"
02/24/2021,"106.00","109.44","105.60","108.69","7,626,186"
02/23/2021,"106.97","107.60","105.96","106.27","7,058,613"
02/22/2021,"104.66","107.68","104.23","107.06","10,272,480"
02/19/2021,"106.23","106.70","104.91","105.01","6,702,445"
02/18/2021,"105.32","106.61","105.21","106.06","5,386,643"
02/17/2021,"104.70","106.75","104.15","106.29","6,940,412"
02/16/2021,"105.33","106.19","104.02","104.20","5,637,257"
02/12/2021,"103.76","104.57","103.15","104.44","3,738,364"
02/11/2021,"104.57","104.68","103.32","103.75","5,090,055"
02/10/2021,"105.98","106.13","103.72","104.05","7,446,005"
02/09/2021,"106.00","106.50","105.11","105.40","5,506,938"
02/08/2021,"108.89","108.98","105.81","106.84","9,201,107"
02/05/2021,"109.63","110.27","108.44","108.73","7,250,979"
02/04/2021,"106.87","108.88","105.25","108.53","9,077,784"
02/03/2021,"106.20","107.57","104.01","106.95","12,101,870"
02/02/2021,"102.88","104.31","102.50","103.47","10,481,300"
02/01/2021,"103.00","103.89","101.86","102.30","7,518,153"
01/29/2021,"104.00","104.49","101.81","102.48","9,380,386"
01/28/2021,"104.00","105.14","103.11","104.21","8,534,301"
01/27/2021,"106.28","106.70","102.59","102.79","11,887,850"
01/26/2021,"111.30","111.30","108.56","108.80","5,554,641"
01/25/2021,"109.73","111.23","109.21","110.50","6,928,189"
01/22/2021,"110.65","111.60","109.48","110.86","5,185,463"
01/21/2021,"112.63","112.75","110.76","111.26","5,416,967"
01/20/2021,"112.91","113.10","111.47","112.62","6,554,574"
01/19/2021,"111.25","112.31","110.26","112.18","7,723,822"
01/15/2021,"111.20","111.56","109.48","110.52","9,196,450"
01/14/2021,"110.70","112.69","109.50","111.63","8,268,761"
01/13/2021,"109.80","113.41","109.70","112.45","9,821,321"
01/12/2021,"109.22","110.78","109.12","109.78","6,114,537"
01/11/2021,"107.07","109.56","107.07","109.02","6,334,195"
01/08/2021,"106.84","107.53","105.76","107.27","5,345,883"
01/07/2021,"106.11","107.06","105.57","106.71","8,196,046"
01/06/2021,"104.75","107.19","104.18","105.58","11,017,470"
01/05/2021,"105.41","107.02","104.63","106.50","6,823,826"
01/04/2021,"107.18","107.35","103.86","105.41","9,523,377"
12/31/2020,"105.26","107.28","104.85","107.15","6,148,110"
12/30/2020,"105.11","106.23","105.10","105.27","5,328,415"
12/29/2020,"103.95","105.37","103.95","104.70","5,096,383"
12/28/2020,"103.65","103.88","102.72","103.45","3,948,909"
12/24/2020,"103.11","103.39","102.60","103.26","1,378,649"
12/23/2020,"103.06","103.93","102.91","103.28","3,659,423"
12/22/2020,"103.41","103.50","102.01","102.80","4,003,900"
12/21/2020,"102.76","103.92","101.55","103.71","6,664,598"
12/18/2020,"105.03","105.06","103.20","104.45","13,906,760"
12/17/2020,"104.86","105.50","104.11","104.89","6,360,647"
12/16/2020,"102.50","105.41","101.90","104.64","9,182,062"
12/15/2020,"105.44","105.45","102.32","102.82","12,101,020"
12/14/2020,"107.43","108.07","104.09","104.20","8,272,746"
12/11/2020,"107.01","107.42","105.58","106.34","5,205,199"
12/10/2020,"109.06","109.07","106.67","107.49","6,285,704"
12/09/2020,"107.90","109.15","107.63","108.67","7,350,722"
12/08/2020,"105.70","108.35","105.60","107.69","6,688,195"
12/07/2020,"107.04","107.21","104.96","105.84","6,532,493"
12/04/2020,"105.02","107.31","105.02","107.28","7,235,820"
12/03/2020,"105.00","105.70","104.30","104.74","4,693,555"
12/02/2020,"104.00","105.38","103.32","104.99","5,492,166"
12/01/2020,"105.05","106.38","104.04","104.04","7,625,102"
11/30/2020,"105.12","105.42","103.65","104.58","20,726,461"
11/27/2020,"104.98","105.80","104.30","104.89","4,418,751"
11/25/2020,"103.82","104.46","103.39","104.20","6,368,079"
11/24/2020,"102.88","104.82","102.58","103.96","9,325,898"
11/23/2020,"101.94","102.76","101.07","102.18","7,546,710"
11/20/2020,"99.95","101.83","98.62","100.84","9,684,787"
11/19/2020,"98.76","100.15","98.59","99.67","7,550,296"
11/18/2020,"100.00","100.29","98.68","98.72","8,880,632"
11/17/2020,"99.37","100.26","98.74","99.21","11,593,470"
11/16/2020,"99.96","100.54","98.33","98.36","8,611,255"
11/13/2020,"97.41","99.55","97.40","99.04","6,890,643"
11/12/2020,"97.50","97.75","96.28","97.60","7,649,145"
11/11/2020,"99.15","99.87","97.77","98.15","9,476,508"
11/10/2020,"96.01","99.13","95.63","98.87","12,267,220"
11/09/2020,"95.74","96.95","94.67","95.12","11,028,940"
11/06/2020,"92.98","93.65","91.71","92.85","7,006,928"
11/05/2020,"95.36","95.52","93.00","93.69","8,012,967"
11/04/2020,"93.14","97.49","92.67","94.50","25,848,971"
11/03/2020,"89.14","89.39","87.43","87.96","8,518,756"
11/02/2020,"86.03","88.54","86.00","88.25","10,781,360"
10/30/2020,"83.20","86.14","83.00","85.10","18,095,150"
10/29/2020,"80.50","81.37","79.11","80.67","8,876,696"
10/28/2020,"81.35","82.21","80.24","80.49","11,480,180"
10/27/2020,"84.00","84.26","82.68","82.71","6,705,599"
10/26/2020,"84.09","84.32","82.81","83.92","7,986,251"
10/23/2020,"84.64","85.15","83.94","84.34","4,238,703"
10/22/2020,"83.02","84.89","82.92","84.31","8,081,607"
10/21/2020,"83.58","84.14","82.56","82.89","9,776,877"
10/20/2020,"84.19","84.83","83.42","84.25","6,933,177"
10/19/2020,"86.59","86.79","84.13","84.31","10,287,990"
10/16/2020,"85.89","87.15","85.76","86.27","5,362,675"
10/15/2020,"85.41","85.74","84.96","85.23","6,193,769"
10/14/2020,"86.83","87.11","85.90","86.07","5,864,506"
10/13/2020,"88.01","88.80","87.47","87.83","7,851,718"
10/12/2020,"88.17","88.60","87.32","88.32","7,314,932"
10/09/2020,"87.41","88.70","87.35","87.70","6,005,779"
10/08/2020,"87.27","88.58","86.92","87.34","5,535,131"
10/07/2020,"86.16","87.30","86.03","87.07","5,899,660"
10/06/2020,"87.97","88.06","85.71","85.89","8,743,761"
10/05/2020,"86.49","88.18","86.21","87.93","5,984,220"
10/02/2020,"86.50","87.35","86.05","86.12","5,554,326"
10/01/2020,"88.17","88.17","86.73","87.14","8,777,328"
09/30/2020,"87.00","88.44","86.81","87.59","8,209,345"
09/29/2020,"87.11","87.28","86.31","86.89","5,510,185"
09/28/2020,"87.29","88.20","86.87","87.28","6,306,923"
09/25/2020,"86.00","86.86","85.46","86.23","9,935,566"
09/24/2020,"87.00","87.00","85.32","85.91","9,980,810"
09/23/2020,"89.00","89.27","87.12","87.14","6,252,954"
09/22/2020,"88.90","88.95","87.93","88.60","5,306,130"
09/21/2020,"89.14","89.43","87.17","89.09","7,328,258"
09/18/2020,"89.49","90.50","88.86","90.11","10,076,300"
09/17/2020,"89.30","90.81","89.18","89.63","5,604,683"
09/16/2020,"91.02","91.27","89.69","89.78","6,307,956"
09/15/2020,"91.40","91.98","90.64","90.91","3,851,321"
09/14/2020,"90.05","91.26","89.46","90.49","5,212,480"
09/11/2020,"89.81","90.34","89.04","89.70","8,385,750"
09/10/2020,"91.07","91.41","89.48","89.65","10,403,580"
09/09/2020,"90.86","92.43","90.51","91.63","5,373,513"
09/08/2020,"91.52","91.86","89.45","90.22","8,563,903"
09/04/2020,"92.08","93.13","90.58","91.87","9,444,845"
09/03/2020,"93.88","94.31","91.09","91.87","8,921,855"
09/02/2020,"92.07","94.24","91.90","93.95","9,139,151"
09/01/2020,"95.52","95.92","91.29","92.24","15,817,820"
08/31/2020,"94.12","96.01","94.01","95.77","9,932,323"
08/28/2020,"94.52","94.65","93.53","94.17","4,938,715"
08/27/2020,"94.33","95.06","93.67","94.30","5,271,517"
08/26/2020,"93.50","94.41","92.94","94.35","5,682,842"
08/25/2020,"94.21","94.79","93.91","94.06","6,709,995"
08/24/2020,"94.90","95.24","94.18","94.51","4,103,551"
08/21/2020,"95.20","95.32","94.32","94.86","5,268,986"
08/20/2020,"95.49","96.03","94.68","95.20","6,798,058"
08/19/2020,"97.11","97.42","95.85","96.10","7,671,999"
08/18/2020,"96.62","96.70","95.15","95.65","4,557,442"
08/17/2020,"95.29","97.26","95.26","96.35","7,251,444"
08/14/2020,"95.38","95.67","94.54","95.07","5,488,458"
08/13/2020,"95.14","95.50","94.01","94.68","6,004,395"
08/12/2020,"93.45","95.58","93.33","95.51","7,705,938"
08/11/2020,"92.31","93.29","92.13","92.67","7,208,384"
08/10/2020,"92.63","93.67","92.15","92.38","7,623,616"
08/07/2020,"92.69","93.00","92.20","92.92","5,227,010"
