Date,Open,High,Low,Close,Volume
03/01/2021,"85.37","86.50","83.97","86.39","32,746,180"
02/26/2021,"83.57","85.59","82.91","84.51","48,962,910"
02/25/2021,"86.17","87.09","81.92","82.42","54,625,141"
02/24/2021,"84.33","87.09","82.81","86.94","40,821,152"
02/23/2021,"83.40","85.11","79.36","84.74","49,720,910"
02/22/2021,"88.15","88.30","85.21","85.37","36,930,180"
02/19/2021,"89.75","90.42","88.69","89.58","29,548,270"
02/18/2021,"89.09","89.60","87.31","88.64","35,624,953"
02/17/2021,"90.56","90.96","88.57","89.94","32,284,080"
02/16/2021,"93.90","94.00","90.75","91.46","35,105,922"
02/12/2021,"92.75","94.22","91.90","93.77","38,538,352"
02/11/2021,"92.90","93.65","91.33","92.66","35,571,031"
02/10/2021,"91.50","93.27","90.46","92.35","42,441,301"
02/09/2021,"91.39","93.30","90.55","90.91","37,596,449"
02/08/2021,"88.31","91.99","87.98","91.47","47,639,887"
02/05/2021,"88.15","88.36","86.88","87.90","30,268,680"
02/04/2021,"88.22","88.60","87.06","87.84","30,791,641"
02/03/2021,"88.60","89.48","87.34","87.89","32,312,891"
02/02/2021,"88.49","89.28","86.95","88.86","33,850,047"
02/01/2021,"86.83","87.95","84.66","87.66","42,359,340"
01/29/2021,"87.56","88.33","85.02","85.64","56,735,832"
01/28/2021,"89.83","89.88","87.30","87.52","47,048,359"
01/27/2021,"91.10","91.88","86.22","88.84","73,341,195"
01/26/2021,"94.91","95.72","93.63","94.71","59,449,047"
01/25/2021,"94.14","95.74","91.40","94.13","55,086,941"
01/22/2021,"94.42","95.95","91.88","92.79","71,294,711"
01/21/2021,"89.34","92.07","88.43","91.53","54,596,078"
01/20/2021,"90.55","90.78","88.60","88.75","35,185,809"
01/19/2021,"89.56","89.58","87.24","89.45","45,115,059"
01/15/2021,"90.75","91.59","87.86","88.21","49,340,340"
01/14/2021,"91.77","92.36","90.45","90.79","53,408,238"
01/13/2021,"93.01","93.89","90.84","91.78","60,712,898"
01/12/2021,"97.86","98.97","94.07","95.36","67,672,312"
01/11/2021,"94.03","99.23","93.76","97.25","48,669,102"
01/08/2021,"95.98","96.40","93.27","94.58","39,816,398"
01/07/2021,"91.33","95.51","91.20","95.16","42,897,160"
01/06/2021,"91.62","92.28","89.46","90.33","51,911,660"
01/05/2021,"92.10","93.21","91.41","92.77","34,207,992"
