Date,Open,High,Low,Close,Volume
03/01/2021,"156.39","157.48","154.90","157.31","54,679,259"
02/26/2021,"154.76","156.12","151.84","154.65","85,518,599"
02/25/2021,"156.84","158.91","152.39","152.86","90,676,019"
02/24/2021,"158.34","158.56","156.27","157.98","60,225,499"
02/23/2021,"156.35","160.24","154.68","159.73","93,544,439"
02/22/2021,"160.41","161.62","158.61","159.04","70,313,579"
02/19/2021,"166.41","166.68","162.29","162.50","86,103,679"
02/18/2021,"164.12","166.90","163.70","166.41","60,672,139"
02/17/2021,"163.18","166.05","162.98","165.43","66,041,979"
02/16/2021,"162.70","165.42","162.68","163.45","51,494,419"
02/12/2021,"162.50","164.01","161.67","163.89","46,706,779"
02/11/2021,"164.60","164.60","162.40","163.11","46,028,339"
02/10/2021,"165.70","165.90","162.70","164.33","63,030,999"
02/09/2021,"165.62","166.90","164.89","165.25","44,070,519"
02/08/2021,"167.93","168.25","165.20","166.15","65,147,819"
02/05/2021,"165.95","168.85","165.14","167.61","72,416,159"
02/04/2021,"166.50","167.35","163.89","166.55","73,413,219"
02/03/2021,"171.25","171.70","165.43","165.63","141,775,618"
02/02/2021,"169.00","171.39","168.06","169.00","141,972,738"
02/01/2021,"162.12","167.51","161.75","167.14","83,204,239"
01/29/2021,"161.50","161.85","159.23","160.31","85,871,119"
01/28/2021,"161.75","165.08","161.43","161.88","62,984,559"
01/27/2021,"167.07","167.33","160.35","161.63","93,203,159"
01/26/2021,"164.82","166.90","164.14","166.31","59,104,699"
01/25/2021,"166.43","168.19","162.16","164.70","74,995,159"
01/22/2021,"165.22","166.10","164.16","164.61","56,438,279"
01/21/2021,"164.65","167.43","164.48","165.35","98,901,019"
01/20/2021,"159.10","163.99","158.75","163.17","106,196,699"
01/19/2021,"155.35","157.25","154.80","156.04","66,102,839"
01/15/2021,"156.15","157.13","154.76","155.21","84,879,899"
01/14/2021,"158.38","158.90","156.03","156.37","61,418,379"
01/13/2021,"156.42","159.50","156.10","158.29","66,424,879"
01/12/2021,"156.00","157.11","154.30","156.04","70,291,639"
01/11/2021,"157.40","157.82","155.50","155.71","73,381,899"
01/08/2021,"159.00","159.53","157.11","159.14","70,754,879"
01/07/2021,"157.85","160.43","157.75","158.11","70,290,899"
01/06/2021,"157.32","159.88","156.56","156.92","87,896,299"
01/05/2021,"158.30","161.17","158.25","160.93","53,110,959"
01/04/2021,"163.50","163.60","157.20","159.33","88,228,979"
12/31/2020,"163.75","164.15","162.06","162.85","59,144,119"
12/30/2020,"167.05","167.11","164.12","164.29","64,186,199"
12/29/2020,"165.50","167.53","164.06","166.10","97,458,659"
12/28/2020,"159.70","165.20","158.63","164.20","113,735,738"
12/24/2020,"159.70","160.10","158.45","158.63","29,038,340"
12/23/2020,"160.25","160.51","159.21","159.26","41,875,739"
12/22/2020,"160.14","161.10","159.00","160.33","47,635,619"
12/21/2020,"160.00","161.35","158.30","160.31","76,736,919"
12/18/2020,"162.20","162.47","158.58","160.08","119,914,258"
12/17/2020,"162.50","163.18","161.05","161.80","69,486,939"
12/16/2020,"158.80","162.35","158.18","162.05","88,552,319"
12/15/2020,"159.05","159.43","156.52","158.26","66,473,719"
12/14/2020,"157.15","159.52","156.30","157.85","83,115,879"
12/11/2020,"154.83","155.93","153.64","155.82","61,293,899"
12/10/2020,"154.45","157.11","153.80","155.07","60,603,719"
12/09/2020,"158.39","158.72","154.40","155.21","82,016,719"
12/08/2020,"157.95","159.21","156.00","158.86","65,726,059"
12/07/2020,"157.82","159.04","157.08","157.90","55,026,319"
12/04/2020,"159.91","159.91","157.94","158.13","58,272,219"
12/03/2020,"160.27","161.43","159.07","159.34","57,840,779"
12/02/2020,"161.08","161.60","158.66","160.18","62,586,079"
12/01/2020,"159.43","162.45","157.86","161.00","90,887,639"
11/30/2020,"160.42","161.42","156.28","158.40","81,278,319"
11/27/2020,"160.56","160.81","159.50","159.77","47,857,339"
11/25/2020,"157.09","159.90","157.01","159.25","75,808,059"
11/24/2020,"155.03","156.71","154.31","155.90","72,042,039"
11/23/2020,"155.83","156.99","153.27","154.92","94,177,739"
11/20/2020,"155.85","156.64","154.90","154.97","67,602,759"
11/19/2020,"155.27","156.25","154.05","155.85","60,205,399"
11/18/2020,"156.70","157.00","155.26","155.27","58,336,719"
11/17/2020,"159.18","159.46","156.76","156.78","68,894,699"
11/16/2020,"154.66","157.14","153.63","156.55","76,173,519"
11/13/2020,"156.10","157.09","154.27","156.44","75,251,739"
11/12/2020,"158.00","158.79","154.30","155.51","87,424,159"
11/11/2020,"153.09","156.96","152.50","156.87","87,338,459"
11/10/2020,"154.75","155.70","150.97","151.75","131,819,118"
11/09/2020,"161.55","164.45","155.61","157.19","143,808,098"
11/06/2020,"165.23","166.10","161.60","165.57","92,946,599"
11/05/2020,"166.00","168.34","164.44","166.10","115,785,698"
11/04/2020,"158.00","162.24","156.99","162.06","136,780,818"
11/03/2020,"150.93","153.75","149.05","152.42","97,957,599"
11/02/2020,"153.09","153.99","147.51","150.22","145,146,998"
10/30/2020,"157.89","158.35","150.95","151.81","167,921,618"
10/29/2020,"160.06","162.86","158.20","160.55","131,930,578"
10/28/2020,"162.47","163.20","158.12","158.14","111,766,598"
10/27/2020,"161.25","164.58","160.57","164.32","85,820,939"
10/26/2020,"159.94","164.15","157.67","160.35","118,023,018"
10/23/2020,"159.55","160.27","157.00","160.22","69,333,739"
10/22/2020,"159.49","159.94","156.10","158.82","84,240,099"
10/21/2020,"160.63","161.69","158.00","159.25","91,854,719"
10/20/2020,"161.11","163.30","159.60","160.85","90,193,559"
10/19/2020,"164.98","166.45","159.64","160.36","104,472,519"
10/16/2020,"168.16","169.98","158.00","163.64","129,487,058"
10/15/2020,"164.60","167.79","164.00","166.93","104,468,959"
10/14/2020,"172.35","173.24","167.00","168.19","116,578,318"
10/13/2020,"173.40","174.62","171.21","172.18","114,893,938"
10/12/2020,"167.50","174.81","166.98","172.15","167,283,938"
10/09/2020,"160.50","164.45","159.89","164.33","98,157,419"
10/08/2020,"161.25","161.66","158.75","159.53","63,482,279"
10/07/2020,"156.75","160.00","156.62","159.78","86,188,779"
10/06/2020,"158.25","159.10","154.50","155.00","101,737,139"
10/05/2020,"157.29","160.13","157.04","159.96","75,506,639"
10/02/2020,"157.68","159.79","156.15","156.25","112,261,958"
10/01/2020,"160.40","161.20","158.60","161.06","99,438,439"
09/30/2020,"157.06","160.64","156.70","157.44","97,922,019"
09/29/2020,"158.77","159.41","156.63","157.24","70,067,959"
09/28/2020,"157.44","158.75","155.86","158.70","84,483,299"
09/25/2020,"152.74","155.08","149.95","154.76","92,304,039"
09/24/2020,"148.89","153.47","148.25","150.99","110,587,838"
09/23/2020,"156.02","156.35","149.62","149.99","113,053,298"
09/22/2020,"151.69","156.70","150.01","156.45","138,976,318"
09/21/2020,"145.33","148.10","143.55","148.02","122,358,498"
09/18/2020,"151.59","151.89","145.28","147.75","177,851,598"
09/17/2020,"150.46","151.47","148.63","150.44","128,980,998"
09/16/2020,"159.00","159.36","153.71","153.91","90,623,779"
09/15/2020,"156.81","158.75","155.45","157.81","80,430,699"
09/14/2020,"158.65","159.37","154.80","155.15","90,591,919"
09/11/2020,"160.43","160.87","154.20","155.81","101,879,639"
09/10/2020,"165.36","167.49","158.53","158.76","106,614,819"
09/09/2020,"160.15","165.16","159.25","163.43","103,773,499"
