Date,Open,High,Low,Close,Volume
03/01/2021,"219.60","226.98","219.02","224.39","18,735,439"
02/26/2021,"218.51","220.66","211.29","212.01","12,838,430"
02/25/2021,"227.80","228.50","214.71","216.45","19,283,010"
02/24/2021,"212.10","229.61","211.60","229.34","30,709,279"
02/23/2021,"214.15","214.75","206.60","212.12","15,996,700"
02/22/2021,"211.89","220.39","210.80","212.88","21,413,750"
02/19/2021,"209.97","217.64","209.15","217.47","12,415,280"
02/18/2021,"213.45","214.34","208.08","208.48","9,121,302"
02/17/2021,"215.52","218.71","212.68","215.52","9,295,592"
02/16/2021,"213.08","217.40","212.33","217.18","10,171,130"
02/12/2021,"210.36","213.16","209.67","210.98","6,010,791"
02/11/2021,"212.24","213.99","208.57","210.66","7,140,235"
02/10/2021,"215.65","217.49","211.12","211.92","11,510,720"
02/09/2021,"210.60","216.73","208.90","215.12","13,615,660"
02/08/2021,"209.55","211.99","208.30","211.95","11,182,090"
02/05/2021,"212.25","213.20","206.66","207.93","9,546,076"
02/04/2021,"209.87","212.48","208.02","210.64","11,869,930"
02/03/2021,"202.00","208.16","201.26","207.39","11,836,860"
02/02/2021,"198.98","203.03","198.09","200.94","11,130,620"
02/01/2021,"196.00","197.38","192.86","195.84","9,061,904"
01/29/2021,"198.30","201.57","193.12","194.19","13,683,740"
01/28/2021,"198.05","200.42","196.00","197.23","10,403,210"
01/27/2021,"196.90","199.47","191.85","194.03","20,948,461"
01/26/2021,"205.34","208.35","201.79","202.06","11,011,760"
01/25/2021,"203.27","203.80","199.30","203.36","14,276,240"
01/22/2021,"205.55","206.70","204.27","205.84","7,514,630"
01/21/2021,"211.72","211.93","206.34","207.41","11,119,830"
01/20/2021,"213.24","215.59","211.21","211.45","9,727,036"
01/19/2021,"206.99","211.52","206.52","210.71","11,947,220"
01/15/2021,"208.96","209.25","204.20","204.32","11,103,340"
01/14/2021,"208.79","214.19","208.21","209.91","12,446,820"
01/13/2021,"207.15","208.79","204.85","207.21","8,570,469"
01/12/2021,"206.65","209.06","204.81","208.41","12,836,220"
01/11/2021,"203.03","207.78","201.01","206.79","16,789,279"
01/08/2021,"213.61","214.10","208.16","209.90","14,144,020"
