Date,Open,High,Low,Close,Volume
03/01/2021,"219.31","222.58","218.90","219.76","2,871,845"
02/26/2021,"220.75","222.40","215.82","215.88","4,461,298"
02/25/2021,"223.62","224.40","219.72","221.82","4,313,039"
02/24/2021,"220.41","226.67","219.88","222.47","4,925,014"
02/23/2021,"219.53","220.74","213.28","220.18","4,125,136"
02/22/2021,"209.63","218.87","209.34","218.06","4,578,305"
02/19/2021,"203.25","211.46","202.70","209.91","4,937,326"
02/18/2021,"201.55","202.88","198.58","199.92","2,346,219"
02/17/2021,"202.39","202.90","199.79","202.30","2,411,531"
02/16/2021,"199.75","205.18","199.24","202.38","3,722,657"
02/12/2021,"197.98","198.76","196.76","197.99","1,804,382"
02/11/2021,"197.59","198.42","194.39","198.35","2,178,154"
02/10/2021,"198.50","199.71","196.26","197.72","2,816,443"
02/09/2021,"197.54","198.66","194.89","197.28","2,331,557"
02/08/2021,"195.00","197.54","194.67","197.45","2,725,656"
02/05/2021,"192.52","194.33","190.01","193.00","2,240,109"
02/04/2021,"192.00","192.61","190.20","191.65","2,254,049"
02/03/2021,"190.91","191.53","189.06","191.45","2,979,186"
02/02/2021,"186.50","192.78","185.64","192.50","5,265,354"
02/01/2021,"185.96","186.80","182.02","184.72","2,738,225"
01/29/2021,"183.50","188.82","180.73","182.84","4,541,368"
01/28/2021,"182.26","187.61","181.31","184.34","3,445,426"
01/27/2021,"184.20","185.55","179.34","180.63","4,095,305"
01/26/2021,"187.60","189.41","186.83","187.21","2,505,956"
01/25/2021,"190.56","191.37","186.97","187.34","3,837,108"
01/22/2021,"190.85","192.82","189.31","191.94","2,027,177"
01/21/2021,"192.35","193.72","190.05","192.19","1,951,414"
01/20/2021,"192.66","193.90","190.42","192.34","2,501,098"
01/19/2021,"194.29","196.11","193.44","194.06","2,361,180"
01/15/2021,"195.66","195.71","190.88","194.62","3,317,129"
01/14/2021,"196.10","197.91","195.36","197.40","2,486,579"
01/13/2021,"198.79","200.17","195.80","195.89","3,154,720"
01/12/2021,"194.68","198.00","193.31","197.54","2,466,084"
01/11/2021,"191.56","195.46","190.31","193.86","2,541,263"
01/08/2021,"193.85","195.26","191.32","194.26","3,186,641"
01/07/2021,"196.85","197.37","192.20","194.23","5,297,497"
01/06/2021,"187.15","197.28","186.15","193.86","8,034,734"
01/05/2021,"181.21","185.80","181.21","183.64","2,933,740"
01/04/2021,"183.00","185.98","180.25","182.15","4,078,403"
12/31/2020,"180.25","182.10","178.75","182.02","1,717,865"
12/30/2020,"179.77","182.23","178.69","180.04","2,720,613"
12/29/2020,"179.17","179.38","175.11","176.65","1,490,348"
12/28/2020,"180.48","181.12","178.31","178.37","1,508,807"
12/24/2020,"179.45","179.85","178.35","179.56","585,730"
12/23/2020,"177.45","179.29","177.01","178.42","1,862,521"
12/22/2020,"179.29","180.16","176.48","176.58","2,495,103"
12/21/2020,"176.94","180.89","176.32","180.16","2,070,970"
12/18/2020,"180.07","181.30","177.47","180.96","5,262,742"
12/17/2020,"180.67","180.73","178.58","179.17","2,296,656"
12/16/2020,"180.85","181.27","178.36","179.50","2,032,006"
12/15/2020,"179.93","182.76","179.02","181.74","2,360,759"
12/14/2020,"180.60","183.33","177.78","178.05","2,533,626"
12/11/2020,"176.99","179.78","176.23","179.29","2,673,578"
12/10/2020,"179.24","179.53","177.14","178.85","3,109,423"
12/09/2020,"179.62","180.48","177.00","180.07","2,915,474"
12/08/2020,"177.66","180.74","177.50","178.84","2,001,582"
12/07/2020,"180.39","180.39","176.56","178.71","4,587,392"
12/04/2020,"175.92","183.81","175.62","182.21","6,086,157"
12/03/2020,"173.87","175.08","173.28","174.63","2,904,107"
12/02/2020,"173.26","174.42","172.28","173.87","1,971,044"
12/01/2020,"175.39","176.57","172.94","173.26","2,710,241"
11/30/2020,"173.61","174.88","172.43","173.59","2,382,647"
11/27/2020,"174.41","175.92","173.88","175.08","976,859"
11/25/2020,"176.46","176.48","172.78","174.63","2,506,613"
11/24/2020,"176.25","178.32","175.27","176.90","3,447,899"
11/23/2020,"173.76","175.50","173.24","174.78","2,405,143"
11/20/2020,"172.45","173.12","171.31","172.23","2,450,417"
11/19/2020,"172.50","173.25","170.71","172.90","2,012,068"
11/18/2020,"172.04","175.38","172.04","172.74","3,165,091"
11/17/2020,"172.17","172.48","170.19","171.91","2,111,211"
11/16/2020,"175.00","175.00","171.83","173.19","3,902,350"
11/13/2020,"170.30","172.22","169.19","171.71","2,121,205"
11/12/2020,"168.83","171.10","167.65","169.13","2,186,603"
11/11/2020,"172.38","172.74","167.47","169.46","2,345,505"
11/10/2020,"171.90","174.99","170.77","172.30","3,499,082"
11/09/2020,"174.03","176.37","170.12","170.82","5,969,580"
11/06/2020,"163.94","165.54","160.76","161.29","2,982,993"
11/05/2020,"157.67","164.96","157.60","163.09","4,821,588"
11/04/2020,"159.18","162.38","155.23","155.23","9,081,678"
11/03/2020,"165.00","169.00","163.07","167.69","4,843,562"
11/02/2020,"159.20","163.85","157.65","163.27","4,072,385"
10/30/2020,"153.96","157.29","153.04","157.05","4,375,326"
10/29/2020,"150.60","155.51","149.63","154.67","3,867,170"
10/28/2020,"153.80","155.43","150.52","151.16","5,645,134"
10/27/2020,"160.96","161.85","157.01","157.91","4,857,859"
10/26/2020,"166.64","166.64","160.83","163.20","4,506,577"
10/23/2020,"169.37","170.65","167.56","168.59","2,857,252"
10/22/2020,"167.98","169.85","166.89","169.66","2,357,762"
10/21/2020,"169.81","170.52","166.74","167.40","2,502,007"
10/20/2020,"168.20","171.26","167.91","168.99","3,008,336"
10/19/2020,"168.74","170.02","166.80","167.53","2,758,144"
10/16/2020,"167.25","170.51","166.62","168.75","5,571,018"
10/15/2020,"160.27","165.78","160.15","165.04","2,958,934"
10/14/2020,"162.66","164.82","162.50","163.61","4,087,557"
10/13/2020,"161.72","163.18","161.12","162.12","3,319,232"
10/12/2020,"159.97","163.20","159.52","162.61","4,279,790"
10/09/2020,"157.87","159.39","157.40","158.94","4,084,211"
10/08/2020,"155.75","156.73","154.24","156.66","1,843,230"
10/07/2020,"153.28","156.06","153.20","154.77","2,334,454"
10/06/2020,"154.00","155.45","151.28","151.53","2,559,790"
10/05/2020,"152.17","154.45","151.62","153.49","2,597,661"
10/02/2020,"144.27","151.25","143.75","149.94","3,220,517"
10/01/2020,"149.92","150.31","145.65","146.71","2,157,410"
09/30/2020,"148.00","150.95","147.74","149.15","3,642,834"
