Date,Open,High,Low,Close,Volume
03/01/2021,"45.22","46.22","45.22","45.92","17,396,070"
02/26/2021,"45.58","45.78","44.76","44.87","22,144,949"
02/25/2021,"45.59","46.24","45.24","45.52","21,916,721"
02/24/2021,"45.24","45.80","45.04","45.74","17,823,650"
02/23/2021,"45.26","45.78","45.10","45.51","19,714,930"
02/22/2021,"45.29","45.68","44.82","45.43","21,435,789"
02/19/2021,"46.54","46.61","45.58","45.68","25,117,699"
02/18/2021,"46.39","46.40","45.69","46.34","16,867,520"
02/17/2021,"46.32","46.40","45.87","46.25","13,301,380"
02/16/2021,"47.26","47.26","46.40","46.51","18,539,029"
02/12/2021,"47.43","47.69","46.91","47.29","15,239,820"
02/11/2021,"47.35","47.91","47.20","47.58","18,589,910"
02/10/2021,"46.15","47.41","45.83","47.24","44,540,879"
02/09/2021,"48.77","48.83","48.41","48.50","24,795,020"
02/08/2021,"48.56","49.34","48.56","48.94","25,215,439"
02/05/2021,"47.57","48.34","47.50","48.08","25,488,561"
02/04/2021,"45.87","47.32","45.77","47.25","22,285,660"
02/03/2021,"45.75","46.16","45.54","45.77","13,173,640"
02/02/2021,"45.52","45.94","45.43","45.83","16,520,930"
02/01/2021,"44.92","45.63","44.66","45.40","16,776,850"
01/29/2021,"44.85","45.37","44.48","44.58","22,608,100"
01/28/2021,"45.91","46.27","45.30","45.34","21,166,029"
01/27/2021,"45.24","46.46","45.08","45.70","29,634,490"
01/26/2021,"44.89","45.35","44.77","45.26","13,087,750"
01/25/2021,"45.04","45.17","44.71","45.03","16,581,260"
01/22/2021,"44.75","44.89","44.23","44.77","14,643,420"
01/21/2021,"45.20","45.24","44.72","45.11","17,495,891"
01/20/2021,"45.33","45.50","45.14","45.34","16,499,410"
01/19/2021,"45.33","45.63","44.77","45.19","28,868,850"
01/15/2021,"44.96","45.65","44.88","45.43","30,271,670"
01/14/2021,"44.87","45.60","44.85","45.15","22,333,480"
01/13/2021,"45.29","45.97","45.18","45.36","19,367,270"
01/12/2021,"45.30","45.93","44.96","45.79","20,145,039"
01/11/2021,"45.15","45.95","45.02","45.36","25,062,260"
01/08/2021,"44.48","45.41","44.25","45.06","20,936,279"
01/07/2021,"44.20","45.11","44.17","44.96","18,218,760"
01/06/2021,"44.13","44.87","43.89","44.40","21,823,109"
01/05/2021,"43.68","44.07","43.38","43.98","17,763,660"
01/04/2021,"44.31","44.37","43.35","43.96","24,392,539"
12/31/2020,"44.38","44.84","44.16","44.75","15,105,480"
12/30/2020,"44.74","45.06","44.44","44.48","11,043,110"
12/29/2020,"44.97","45.25","44.53","44.64","11,828,960"
12/28/2020,"44.93","45.34","44.72","44.92","13,458,430"
12/24/2020,"44.45","44.59","44.23","44.54","5,720,538"
12/23/2020,"44.65","44.80","44.35","44.38","12,032,640"
12/22/2020,"44.44","45.07","44.44","44.69","16,031,550"
12/21/2020,"44.47","44.96","44.07","44.88","19,865,301"
12/18/2020,"44.90","45.57","44.77","45.44","41,026,969"
