Date,Open,High,Low,Close,Volume
03/01/2021,"102.46","103.80","101.40","102.05","10,441,460"
02/26/2021,"100.30","101.06","97.61","100.00","14,454,120"
02/25/2021,"104.90","104.96","101.59","102.35","13,219,200"
02/24/2021,"100.33","104.04","99.81","103.31","16,115,970"
02/23/2021,"99.97","100.16","96.80","99.63","14,873,980"
02/22/2021,"96.99","99.64","96.46","98.39","13,178,660"
02/19/2021,"95.13","96.38","94.65","95.80","8,913,854"
02/18/2021,"95.75","95.78","94.30","95.00","9,037,383"
02/17/2021,"95.42","96.72","94.20","95.92","14,359,910"
02/16/2021,"93.05","93.86","92.61","93.13","14,005,980"
02/12/2021,"91.53","92.73","91.35","92.55","7,858,297"
02/11/2021,"92.37","92.44","90.08","92.02","8,572,404"
02/10/2021,"91.38","92.59","90.60","92.52","8,778,844"
02/09/2021,"91.10","91.27","89.81","90.96","7,605,481"
02/08/2021,"90.29","92.04","90.01","91.48","9,886,579"
02/05/2021,"89.94","90.47","88.64","89.26","8,017,276"
02/04/2021,"89.51","89.65","87.95","89.00","7,917,645"
02/03/2021,"87.05","89.39","86.89","88.96","9,256,453"
02/02/2021,"88.01","88.37","86.53","87.06","9,233,059"
02/01/2021,"85.99","87.30","84.57","86.41","8,073,583"
01/29/2021,"86.83","87.34","84.92","85.20","14,699,840"
01/28/2021,"88.67","90.15","88.25","89.02","8,155,520"
01/27/2021,"87.53","90.35","86.75","88.20","10,178,500"
01/26/2021,"92.20","92.91","89.27","89.36","7,827,751"
01/25/2021,"90.62","91.03","89.33","90.90","7,689,434"
01/22/2021,"90.40","92.03","89.83","91.73","7,810,638"
01/21/2021,"93.86","94.66","91.22","92.01","10,395,870"
01/20/2021,"95.00","95.56","94.30","95.38","8,735,375"
01/19/2021,"93.50","95.03","93.29","94.51","9,574,755"
01/15/2021,"94.22","94.31","91.71","92.09","10,244,600"
01/14/2021,"93.94","96.32","93.79","95.49","13,950,230"
01/13/2021,"93.20","93.52","91.94","93.25","9,723,285"
01/12/2021,"92.66","93.92","91.71","93.34","10,923,860"
01/11/2021,"89.12","92.10","88.57","91.60","10,640,790"
01/08/2021,"92.08","92.43","90.45","91.08","11,152,130"
01/07/2021,"90.39","90.82","89.31","90.22","9,286,622"
01/06/2021,"89.00","90.78","87.82","89.80","13,916,760"
01/05/2021,"85.49","89.22","85.32","87.00","13,414,800"
01/04/2021,"85.15","85.95","83.89","84.71","9,234,919"
12/31/2020,"84.90","85.20","83.96","84.45","8,350,679"
12/30/2020,"84.61","86.58","84.54","85.33","7,901,846"
12/29/2020,"85.26","85.72","84.05","84.61","7,670,818"
12/28/2020,"85.61","86.63","84.62","84.90","8,051,925"
12/24/2020,"85.93","85.93","84.81","85.33","3,335,646"
12/23/2020,"85.00","86.66","85.00","85.69","7,223,112"
12/22/2020,"85.44","85.80","84.30","84.36","8,589,973"
12/21/2020,"84.35","86.84","83.53","86.09","11,430,470"
12/18/2020,"87.98","88.71","86.26","87.19","27,427,609"
12/17/2020,"89.54","89.55","87.55","88.41","11,748,930"
12/16/2020,"89.20","89.35","87.85","88.69","9,892,928"
12/15/2020,"89.42","90.48","88.77","89.37","11,782,520"
12/14/2020,"93.40","93.70","89.24","89.44","12,198,390"
12/11/2020,"92.53","93.28","91.03","92.45","9,584,454"
12/10/2020,"91.55","94.56","90.78","93.35","11,992,090"
12/09/2020,"92.20","93.02","89.37","90.44","11,129,430"
12/08/2020,"90.34","92.46","90.19","91.54","7,627,316"
12/07/2020,"91.82","92.38","89.88","90.76","9,398,377"
12/04/2020,"91.22","93.45","90.92","93.28","10,791,110"
12/03/2020,"90.58","91.11","89.07","89.80","8,249,758"
12/02/2020,"87.26","91.31","87.10","89.87","10,509,610"
12/01/2020,"89.28","89.71","87.07","87.45","9,915,692"
11/30/2020,"90.01","90.85","86.90","87.18","14,288,410"
11/27/2020,"91.33","92.59","90.54","91.31","4,627,670"
11/25/2020,"94.68","94.68","92.14","92.14","10,556,560"
11/24/2020,"93.39","95.82","93.00","95.62","17,266,430"
11/23/2020,"87.45","91.58","86.76","91.03","13,387,120"
11/20/2020,"85.72","86.31","84.88","85.79","8,296,993"
11/19/2020,"83.55","85.96","83.06","85.73","8,820,183"
11/18/2020,"87.37","87.90","84.25","84.28","10,583,710"
11/17/2020,"86.40","87.53","84.83","87.04","14,329,010"
11/16/2020,"86.24","89.18","85.54","88.96","18,980,211"
11/13/2020,"81.15","83.35","81.03","83.03","10,898,830"
11/12/2020,"80.98","82.24","79.91","80.67","8,929,433"
11/11/2020,"84.10","84.49","81.80","82.46","11,640,580"
11/10/2020,"81.14","83.15","79.71","83.07","15,039,670"
11/09/2020,"80.00","84.27","78.26","79.40","24,015,180"
11/06/2020,"72.50","73.27","70.83","71.15","8,366,918"
11/05/2020,"71.90","72.97","71.76","72.14","10,627,730"
11/04/2020,"70.78","73.59","69.89","71.77","10,925,660"
11/03/2020,"73.16","73.30","71.05","71.74","8,607,953"
11/02/2020,"70.70","73.08","69.40","72.15","11,475,510"
10/30/2020,"69.90","70.11","68.08","69.50","17,198,461"
10/29/2020,"66.13","69.14","65.16","68.80","12,292,160"
10/28/2020,"67.70","68.08","66.33","66.88","15,961,850"
10/27/2020,"70.42","70.60","69.49","69.51","14,251,700"
10/26/2020,"71.73","71.89","70.24","70.94","9,710,860"
10/23/2020,"73.93","74.37","71.83","72.57","8,727,161"
10/22/2020,"70.88","73.49","70.57","73.40","9,812,735"
10/21/2020,"71.13","71.58","70.73","70.87","9,800,575"
10/20/2020,"71.91","72.29","71.04","71.68","7,753,247"
10/19/2020,"73.11","73.34","71.19","71.28","8,357,059"
10/16/2020,"73.52","74.03","72.27","72.89","9,305,957"
10/15/2020,"71.82","73.72","71.39","73.51","10,052,930"
10/14/2020,"73.28","74.43","72.91","72.95","7,058,050"
10/13/2020,"74.74","74.74","72.78","73.40","10,440,260"
10/12/2020,"73.63","74.95","73.20","74.51","9,056,884"
10/09/2020,"75.86","76.09","73.98","74.00","12,260,870"
10/08/2020,"74.39","75.55","73.99","75.22","11,590,870"
10/07/2020,"72.17","73.92","71.56","73.78","15,410,310"
10/06/2020,"73.84","74.32","72.25","72.30","15,294,480"
10/05/2020,"71.52","72.73","70.71","72.70","12,049,810"
10/02/2020,"68.92","71.67","68.82","71.19","9,854,802"
10/01/2020,"71.51","71.88","70.03","70.42","14,930,680"
09/30/2020,"72.25","72.89","71.61","72.00","10,466,450"
09/29/2020,"74.00","74.14","71.11","71.90","10,561,320"
09/28/2020,"73.64","74.76","73.15","73.93","12,863,840"
09/25/2020,"71.01","72.48","70.77","71.83","11,070,520"
09/24/2020,"71.25","73.03","70.50","71.80","15,203,450"
09/23/2020,"75.59","75.91","71.85","71.95","16,649,189"
09/22/2020,"76.15","77.53","75.35","75.53","9,154,966"
09/21/2020,"76.24","76.65","74.68","76.30","16,199,130"
09/18/2020,"77.88","79.15","77.50","78.21","14,517,790"
09/17/2020,"77.53","78.85","76.37","78.79","10,515,130"
09/16/2020,"76.35","79.48","75.96","78.56","13,021,740"
09/15/2020,"77.56","78.48","75.96","76.35","11,732,010"
09/14/2020,"77.48","77.98","76.92","77.29","8,182,840"
09/11/2020,"78.24","78.69","77.07","77.69","13,732,410"
09/10/2020,"80.63","80.89","78.05","78.15","11,845,880"
