Date,Open,High,Low,Close,Volume
03/01/2021,"68.49","69.99","67.98","69.54","28,054,650"
02/26/2021,"66.78","67.60","65.54","65.88","24,182,189"
02/25/2021,"69.04","69.38","66.89","67.41","25,206,090"
02/24/2021,"67.17","68.68","67.00","68.60","20,752,881"
02/23/2021,"65.59","66.92","64.86","66.74","26,712,051"
02/22/2021,"65.40","66.90","65.29","65.52","23,120,670"
02/19/2021,"64.16","65.99","64.05","65.78","20,456,221"
02/18/2021,"64.30","64.55","63.09","63.48","14,833,210"
02/17/2021,"63.80","64.91","63.45","64.76","20,287,439"
02/16/2021,"64.92","65.07","63.84","64.12","19,065,439"
02/12/2021,"62.92","64.02","62.89","63.63","12,174,560"
02/11/2021,"63.60","63.87","61.93","63.20","12,108,280"
02/10/2021,"63.48","63.99","62.98","63.62","12,680,710"
02/09/2021,"63.70","63.87","62.52","63.12","12,336,950"
02/08/2021,"63.09","63.71","62.85","63.65","15,055,450"
02/05/2021,"62.99","63.08","62.07","62.58","13,493,780"
02/04/2021,"61.57","62.63","61.42","62.41","16,612,891"
02/03/2021,"59.41","61.15","59.32","61.10","18,730,600"
02/02/2021,"59.60","60.25","59.30","59.58","18,693,381"
02/01/2021,"58.66","58.67","57.40","58.43","16,073,000"
01/29/2021,"59.96","60.20","57.69","57.99","27,078,340"
01/28/2021,"60.15","61.06","59.63","60.34","19,986,199"
01/27/2021,"59.90","60.00","58.53","59.40","24,657,199"
01/26/2021,"61.20","61.24","60.09","60.91","18,760,891"
01/25/2021,"60.67","60.77","59.17","60.56","25,754,119"
01/22/2021,"60.94","61.83","60.19","61.33","24,740,400"
01/21/2021,"63.21","63.34","61.74","61.87","19,416,250"
01/20/2021,"63.75","63.82","62.84","63.25","17,448,891"
01/19/2021,"65.20","65.25","62.91","63.69","27,022,420"
01/15/2021,"67.37","67.65","64.09","64.23","38,243,793"
01/14/2021,"67.52","69.43","67.17","69.01","29,108,869"
01/13/2021,"67.00","67.22","65.99","66.86","18,541,850"
01/12/2021,"67.49","67.74","66.24","66.67","20,162,830"
