Date,Close,Open,High,Low,Vol.,Change %
3/1/2021,11.24,11.14,11.33,11.05,43.17M,2.37%
2/26/2021,10.98,11.15,11.24,10.83,69.61M,-0.45%
2/25/2021,11.03,11.46,11.63,11,75.25M,-4.17%
2/24/2021,11.51,10.95,11.63,10.92,95.15M,5.60%
2/23/2021,10.9,10.87,10.93,10.44,72.90M,-0.73%
2/22/2021,10.98,10.81,11.2,10.79,62.18M,1.10%
2/19/2021,10.86,10.81,10.87,10.75,48.62M,1.31%
2/18/2021,10.72,10.67,10.77,10.6,37.78M,-0.46%
2/17/2021,10.77,10.89,10.89,10.67,49.68M,-0.55%
2/16/2021,10.83,10.79,10.98,10.68,48.39M,0.84%
2/12/2021,10.74,10.71,10.9,10.67,44.40M,0.00%
2/11/2021,10.74,10.94,11.01,10.61,55.76M,-2.63%
2/10/2021,11.03,11.26,11.28,10.82,76.28M,-1.43%
2/9/2021,11.19,10.83,11.3,10.78,102.25M,3.13%
2/8/2021,10.85,10.81,10.86,10.61,75.76M,0.46%
2/5/2021,10.8,11.07,11.16,10.6,113.40M,1.22%
2/4/2021,10.67,10.7,10.9,10.48,106.85M,1.52%
2/3/2021,10.51,10.24,10.66,10.17,82.97M,3.14%
2/2/2021,10.19,10.45,10.51,10.05,80.44M,0.30%
2/1/2021,10.16,9.99,10.73,9.72,157.11M,2.83%
1/29/2021,9.88,9.94,10.17,9.8,73.93M,-1.79%
1/28/2021,10.06,10.17,10.37,10.05,77.39M,-0.59%
1/27/2021,10.12,10.34,10.48,10.04,82.86M,-3.62%
1/26/2021,10.5,10.61,10.82,10.43,66.27M,-0.85%
1/25/2021,10.59,10.78,10.81,10.21,118.95M,-2.04%
1/22/2021,10.81,10.94,10.97,10.64,130.87M,-0.09%
1/21/2021,10.82,10.58,11.4,10.43,282.76M,6.18%
1/20/2021,10.19,9.6,10.2,9.56,125.03M,8.40%
1/19/2021,9.4,9.44,9.58,9.35,78.73M,1.95%
1/15/2021,9.22,9.42,9.43,9.21,99.98M,-3.35%
1/14/2021,9.54,9.2,9.57,9.18,112.70M,3.92%
1/13/2021,9.18,9.3,9.31,9.04,89.55M,0.00%
1/12/2021,9.18,8.73,9.21,8.72,124.81M,5.15%
1/11/2021,8.73,8.32,8.74,8.27,96.13M,3.44%
1/8/2021,8.44,8.54,8.57,8.34,59.16M,-0.71%
1/7/2021,8.5,8.39,8.52,8.33,77.12M,2.53%
1/6/2021,8.29,8.25,8.39,8.14,72.59M,2.09%
1/5/2021,8.12,7.95,8.18,7.94,70.13M,1.63%
1/4/2021,7.99,8.27,8.29,7.91,85.04M,-3.15%
12/31/2020,8.25,8.29,8.31,8.24,40.18M,-0.72%
12/30/2020,8.31,8.28,8.37,8.27,38.46M,0.48%
12/29/2020,8.27,8.38,8.38,8.24,37.54M,-0.84%
12/28/2020,8.34,8.37,8.42,8.31,38.07M,0.36%
12/24/2020,8.31,8.45,8.46,8.26,27.93M,-1.42%
12/23/2020,8.43,8.27,8.47,8.26,54.09M,2.18%
12/22/2020,8.25,8.42,8.43,8.21,59.16M,-1.55%
12/21/2020,8.38,8.32,8.45,8.25,63.91M,-0.24%
12/18/2020,8.4,8.53,8.53,8.36,78.76M,-1.41%
12/17/2020,8.52,8.53,8.57,8.44,49.30M,0.47%
12/16/2020,8.48,8.6,8.61,8.42,55.27M,-1.17%
12/15/2020,8.58,8.47,8.58,8.39,69.67M,2.63%
12/14/2020,8.36,8.57,8.61,8.33,76.83M,-1.18%
12/11/2020,8.46,8.62,8.62,8.45,73.44M,-1.17%
12/10/2020,8.56,8.73,8.74,8.54,83.37M,-3.49%
12/9/2020,8.87,8.73,8.9,8.72,60.78M,2.19%
12/8/2020,8.68,8.62,8.75,8.6,56.30M,0.35%
12/7/2020,8.65,8.73,8.75,8.58,58.31M,-1.26%
12/4/2020,8.76,8.69,8.86,8.67,48.78M,1.39%
12/3/2020,8.64,8.69,8.74,8.58,50.30M,0.12%
12/2/2020,8.63,8.59,8.67,8.52,48.34M,-0.46%
12/1/2020,8.67,8.59,8.82,8.59,68.97M,1.76%
11/30/2020,8.52,8.66,8.66,8.42,77.97M,-0.12%
11/27/2020,8.53,8.56,8.57,8.47,27.85M,0.12%
11/25/2020,8.52,8.63,8.68,8.44,95.22M,-3.95%
11/24/2020,8.87,8.58,8.91,8.57,99.52M,6.74%
11/23/2020,8.31,8.27,8.42,8.24,71.54M,1.34%
11/20/2020,8.2,8.27,8.27,8.14,57.02M,-0.85%
11/19/2020,8.27,8.33,8.33,8.2,56.67M,0.00%
11/18/2020,8.27,8.27,8.49,8.24,77.76M,0.73%
11/17/2020,8.21,8.12,8.3,8.1,46.75M,-0.61%
11/16/2020,8.26,8.2,8.3,8.08,84.85M,3.12%
11/13/2020,8.01,7.72,8.04,7.72,79.53M,4.03%
11/12/2020,7.7,7.75,7.78,7.6,82.32M,-1.53%
11/11/2020,7.82,8.07,8.07,7.78,75.64M,-0.51%
11/10/2020,7.86,7.72,8.06,7.67,87.47M,2.21%
11/9/2020,7.69,7.61,7.86,7.58,110.51M,5.20%
11/6/2020,7.31,7.51,7.52,7.27,50.91M,-2.53%
11/5/2020,7.5,7.28,7.5,7.23,61.44M,4.60%
11/4/2020,7.17,7.37,7.38,7.16,67.33M,-2.98%
11/3/2020,7.39,7.28,7.44,7.25,65.11M,2.21%
11/2/2020,7.23,7.35,7.37,7.21,59.96M,-0.28%
10/30/2020,7.25,7.36,7.42,7.14,79.39M,-2.16%
10/29/2020,7.41,7.66,7.73,7.36,119.00M,2.63%
10/28/2020,7.22,7.21,7.39,7.16,82.94M,-2.83%
10/27/2020,7.43,7.51,7.59,7.41,64.15M,-1.33%
10/26/2020,7.53,7.54,7.57,7.45,62.13M,-1.70%
10/23/2020,7.66,7.79,7.83,7.59,62.25M,-0.52%
10/22/2020,7.7,7.44,7.71,7.4,74.01M,4.62%
10/21/2020,7.36,7.29,7.39,7.25,51.98M,1.38%
10/20/2020,7.26,7.15,7.36,7.11,63.45M,1.97%
10/19/2020,7.12,7.21,7.24,7.1,38.96M,-1.11%
10/16/2020,7.2,7.23,7.27,7.14,47.51M,0.70%
10/15/2020,7.15,6.96,7.15,6.91,49.34M,0.70%
10/14/2020,7.1,7.25,7.27,7.08,57.81M,-2.47%
10/13/2020,7.28,7.34,7.39,7.16,74.56M,1.11%
10/12/2020,7.2,6.9,7.38,6.88,97.69M,5.88%
10/9/2020,6.8,6.9,6.98,6.78,50.98M,-1.45%
10/8/2020,6.9,6.84,6.9,6.75,54.51M,1.77%
10/7/2020,6.78,6.67,6.8,6.62,50.66M,3.51%
10/6/2020,6.55,6.62,6.8,6.53,78.20M,-0.61%
10/5/2020,6.59,6.52,6.61,6.52,42.36M,2.01%
10/2/2020,6.46,6.21,6.5,6.19,60.80M,2.05%
10/1/2020,6.33,6.3,6.35,6.22,58.34M,1.28%
9/30/2020,6.25,6.2,6.33,6.18,55.94M,0.97%
9/29/2020,6.19,6.28,6.28,6.14,39.01M,-1.43%
9/28/2020,6.28,6.18,6.35,6.17,47.58M,2.78%
9/25/2020,6.11,6.2,6.29,6.1,53.76M,-2.24%
9/24/2020,6.25,6.19,6.34,6.01,59.82M,0.32%
9/23/2020,6.23,6.39,6.5,6.22,52.59M,-2.04%
9/22/2020,6.36,6.46,6.56,6.35,55.87M,-1.40%
9/21/2020,6.45,6.65,6.65,6.39,72.85M,-4.87%
9/18/2020,6.78,6.86,6.94,6.77,71.93M,-0.73%
