Date,Open,High,Low,Close,Volume
03/01/2021,"64.33","66.17","63.68","65.27","9,754,704"
02/26/2021,"63.13","63.93","61.79","62.43","11,091,225"
02/25/2021,"65.22","66.07","63.03","63.53","11,542,168"
02/24/2021,"63.73","66.47","62.96","65.32","13,348,875"
02/23/2021,"62.73","62.98","60.64","62.68","9,005,312"
02/22/2021,"60.09","63.23","59.87","62.23","12,079,535"
02/19/2021,"58.35","59.89","58.15","59.84","7,631,125"
02/18/2021,"58.95","59.05","57.31","57.90","6,106,824"
02/17/2021,"58.95","59.50","58.55","59.05","5,430,362"
02/16/2021,"58.85","59.65","58.65","59.60","7,539,000"
02/12/2021,"56.81","58.45","56.66","58.40","7,304,958"
02/11/2021,"56.71","57.11","55.71","57.06","6,478,650"
02/10/2021,"57.70","57.70","56.66","56.76","5,694,991"
02/09/2021,"57.55","57.75","56.81","57.45","6,592,281"
02/08/2021,"57.11","58.00","56.81","57.80","5,306,814"
02/05/2021,"57.31","57.50","56.33","56.76","6,477,297"
02/04/2021,"55.91","57.26","55.71","57.01","8,345,969"
02/03/2021,"55.96","56.26","55.11","55.76","6,776,854"
02/02/2021,"54.17","56.48","53.97","55.96","10,558,232"
02/01/2021,"54.07","54.77","52.97","53.47","8,335,726"
01/29/2021,"54.77","55.96","53.12","53.17","13,657,350"
01/28/2021,"56.81","57.11","55.09","55.21","11,762,414"
01/27/2021,"55.16","57.55","52.97","56.66","18,679,988"
01/26/2021,"59.89","60.89","55.76","56.21","26,475,424"
01/25/2021,"55.46","55.51","53.62","54.72","11,502,619"
01/22/2021,"54.62","55.66","54.27","55.31","6,614,930"
01/21/2021,"56.76","56.91","55.11","55.11","8,217,769"
01/20/2021,"57.26","57.26","56.26","56.71","7,376,991"
01/19/2021,"57.16","58.00","56.76","56.91","7,937,426"
01/15/2021,"57.75","57.75","56.01","56.41","9,201,192"
01/14/2021,"57.80","58.40","57.65","58.05","7,401,183"
01/13/2021,"58.65","58.85","57.36","57.60","6,714,195"
01/12/2021,"57.31","59.30","56.81","58.65","11,429,911"
01/11/2021,"55.31","57.41","55.07","57.01","8,424,610"
01/08/2021,"56.21","56.96","55.56","56.46","9,089,961"
01/07/2021,"57.55","57.60","55.96","56.11","9,411,225"
01/06/2021,"53.92","57.85","53.92","56.56","16,448,074"
01/05/2021,"51.93","54.17","51.88","53.62","10,462,538"
01/04/2021,"54.22","54.27","51.78","52.13","9,993,686"
12/31/2020,"53.02","53.92","52.68","53.77","5,962,791"
12/30/2020,"52.68","53.99","52.53","53.32","6,327,625"
12/29/2020,"53.07","53.62","52.48","52.58","6,629,490"
12/28/2020,"53.27","53.67","52.68","52.97","6,724,585"
12/24/2020,"54.02","54.02","52.87","53.02","3,756,208"
12/23/2020,"53.17","54.67","52.87","54.07","7,563,066"
12/22/2020,"53.32","53.57","52.23","52.82","11,140,545"
12/21/2020,"52.13","54.12","51.58","53.62","10,727,340"
12/18/2020,"53.67","55.36","53.47","53.82","14,344,200"
12/17/2020,"54.47","54.72","53.77","54.17","7,805,748"
12/16/2020,"55.41","55.51","54.27","54.42","7,351,979"
12/15/2020,"54.51","55.51","53.02","55.31","10,843,219"
12/14/2020,"56.11","56.51","53.72","53.92","9,914,686"
12/11/2020,"56.16","56.81","54.87","55.56","11,122,514"
12/10/2020,"55.16","57.16","55.07","56.36","11,958,954"
12/09/2020,"54.77","57.21","54.77","56.71","15,766,939"
12/08/2020,"53.87","54.92","53.72","54.57","11,672,290"
12/07/2020,"54.22","55.26","53.57","54.07","12,175,496"
12/04/2020,"53.12","54.42","52.33","54.17","16,877,611"
12/03/2020,"51.78","53.27","51.73","52.77","11,431,610"
12/02/2020,"50.19","52.18","49.84","51.93","9,654,444"
12/01/2020,"51.43","52.18","50.34","50.53","10,863,280"
11/30/2020,"51.73","51.73","49.59","50.68","15,638,012"
11/27/2020,"52.53","52.58","51.33","51.78","6,769,356"
11/25/2020,"52.43","52.58","51.48","52.28","13,734,112"
11/24/2020,"53.32","54.02","51.78","52.03","22,036,100"
11/23/2020,"49.09","51.13","49.09","50.14","13,524,662"
11/20/2020,"48.00","48.94","47.76","48.59","10,016,939"
11/19/2020,"47.90","48.57","47.35","48.09","10,897,190"
11/18/2020,"49.64","50.04","48.42","48.44","18,608,225"
11/17/2020,"47.05","48.47","46.45","48.19","11,293,578"
11/16/2020,"47.85","48.00","46.90","47.65","14,846,500"
11/13/2020,"44.11","46.05","44.06","46.05","16,269,838"
11/12/2020,"43.61","44.16","43.17","43.61","9,952,310"
11/11/2020,"45.36","45.41","43.96","44.26","10,929,996"
11/10/2020,"43.94","45.31","43.56","44.71","20,591,699"
11/09/2020,"46.55","46.85","42.87","43.41","24,160,338"
11/06/2020,"39.93","40.53","39.63","40.28","10,515,686"
11/05/2020,"39.58","40.08","39.38","39.78","10,725,850"
11/04/2020,"38.29","39.93","37.49","39.08","15,865,638"
11/03/2020,"38.09","39.41","37.54","39.08","12,234,066"
11/02/2020,"37.34","37.74","36.49","37.44","13,609,788"
10/30/2020,"36.54","37.54","36.30","36.94","12,810,075"
10/29/2020,"38.14","38.54","36.39","36.69","15,412,250"
10/28/2020,"37.39","39.13","36.89","36.94","31,686,762"
10/27/2020,"36.84","36.84","35.30","35.35","12,271,255"
10/26/2020,"37.14","37.64","36.25","36.74","13,031,800"
10/23/2020,"39.48","39.98","37.64","37.99","16,570,400"
10/22/2020,"36.49","38.59","36.44","38.44","11,970,857"
10/21/2020,"36.25","36.89","36.20","36.44","9,226,389"
10/20/2020,"36.59","36.94","36.20","36.54","12,302,512"
10/19/2020,"36.79","37.19","36.00","36.30","16,354,638"
10/16/2020,"34.65","36.59","34.53","36.30","21,143,412"
10/15/2020,"33.36","34.25","32.91","34.20","11,156,586"
10/14/2020,"33.46","34.30","33.46","33.96","12,259,529"
10/13/2020,"33.81","33.94","33.16","33.46","9,410,950"
10/12/2020,"34.45","34.45","33.56","34.00","11,129,554"
10/09/2020,"35.20","35.20","33.36","34.05","21,438,438"
10/08/2020,"31.66","33.21","31.57","33.11","12,895,912"
10/07/2020,"30.97","31.86","30.92","31.42","10,410,764"
10/06/2020,"32.01","32.76","30.42","30.72","21,258,275"
10/05/2020,"31.81","32.11","31.47","31.91","7,285,447"
10/02/2020,"30.12","31.86","30.12","31.81","11,259,546"
