Date,Close,Open,High,Low,Vol.,Change %
3/1/2021,103.48,102.4,103.81,101.72,26.06M,2.36%
2/26/2021,101.1,101.5,102.83,100.05,40.04M,0.30%
2/25/2021,100.8,102.8,104.15,100.32,41.55M,-3.26%
2/24/2021,104.19,101.5,104.42,101.38,22.61M,1.15%
2/23/2021,103.01,100.7,103.63,99.51,34.66M,0.29%
2/22/2021,102.71,102.68,104.02,102.4,29.47M,-1.65%
2/19/2021,104.44,105.39,105.93,104.17,37.94M,-0.81%
2/18/2021,105.29,105.25,106.1,104.67,22.57M,-0.60%
2/17/2021,105.93,104.7,106.12,104.42,20.30M,0.38%
2/16/2021,105.54,104.59,107.26,104.59,31.00M,0.75%
2/12/2021,104.75,103.99,104.97,103.68,18.99M,0.30%
2/11/2021,104.44,104.55,104.7,103.44,20.48M,0.11%
2/10/2021,104.32,104.16,104.94,102.61,25.10M,0.53%
2/9/2021,103.77,103.74,104.93,103.5,21.89M,-0.44%
2/8/2021,104.23,105,105.75,103.17,28.83M,-0.21%
2/5/2021,104.44,102.98,104.8,102.5,29.87M,1.71%
2/4/2021,102.68,103.03,103.46,101.75,48.60M,-0.25%
2/3/2021,102.94,103.28,105.33,100.68,97.88M,7.28%
2/2/2021,95.96,95.66,97.47,95.32,66.33M,1.38%
2/1/2021,94.65,92.23,95.78,92.23,40.25M,3.60%
1/29/2021,91.37,91.7,92.38,90.08,44.53M,-1.39%
1/28/2021,92.66,91.55,94.4,91.55,55.28M,1.88%
1/27/2021,90.95,93.75,94.02,89.86,82.51M,-4.67%
1/26/2021,95.4,94.3,95.79,93.81,31.46M,0.72%
1/25/2021,94.71,95.64,96.09,92.96,50.59M,0.09%
1/22/2021,94.63,94.57,95.22,93.82,32.74M,0.45%
1/21/2021,94.21,94.68,96.6,93.97,58.66M,0.22%
1/20/2021,94,91.32,94.99,90.98,64.15M,5.36%
1/19/2021,89.22,87.15,90.19,86.64,41.66M,3.29%
1/15/2021,86.38,86.45,87.38,85.59,31.44M,-0.19%
1/14/2021,86.55,87.44,88.38,86.3,29.21M,-0.93%
1/13/2021,87.36,86.37,87.82,86.37,23.43M,0.57%
1/12/2021,86.87,87.27,88.39,85.82,29.53M,-1.07%
1/11/2021,87.81,88.85,89.22,87.61,34.81M,-2.31%
1/8/2021,89.89,88.86,89.97,88.06,35.48M,1.32%
1/7/2021,88.72,86.34,88.89,86.34,41.94M,2.99%
1/6/2021,86.14,85.01,87.2,84.81,46.59M,-0.99%
1/5/2021,87,86.25,87.34,85.85,20.36M,0.81%
1/4/2021,86.31,88,88.12,85.36,37.32M,-1.51%
12/31/2020,87.63,86.86,87.88,86.8,21.07M,0.94%
12/30/2020,86.81,88.25,88.39,86.4,21.03M,-1.22%
12/29/2020,87.89,89.36,89.42,87.76,19.73M,-0.91%
12/28/2020,88.7,87.25,89.35,87.09,27.65M,2.30%
12/24/2020,86.71,86.45,87.12,86.22,9.31M,0.34%
12/23/2020,86.41,86.2,87.21,86.06,22.97M,0.47%
12/22/2020,86.01,86.47,86.63,85.29,20.38M,-0.83%
12/21/2020,86.73,85.46,86.85,84.7,33.97M,0.48%
12/18/2020,86.31,87.31,87.42,85.75,85.26M,-0.82%
12/17/2020,87.03,88.2,88.34,86.56,34.88M,-0.95%
12/16/2020,87.86,88.46,88.46,87.45,24.68M,-0.22%
12/15/2020,88.05,87.99,88.2,87.08,21.37M,0.50%
12/14/2020,87.61,88.54,89.49,87.46,33.05M,-1.27%
12/11/2020,88.74,88,88.87,87.64,18.63M,0.40%
12/10/2020,88.38,88.13,88.75,86.68,28.69M,-0.57%
12/9/2020,88.89,90.52,91.42,88.1,31.73M,-1.85%
12/8/2020,90.57,90.43,90.8,89.56,19.94M,-0.31%
12/7/2020,90.85,90.78,91.46,90.15,22.29M,-0.37%
12/4/2020,91.19,91.01,91.47,90.68,20.54M,0.11%
