Date,Open,High,Low,Close,Volume
03/01/2021,"325.00","331.04","323.31","329.92","2,959,050"
02/26/2021,"325.77","328.68","319.04","319.48","3,732,221"
02/25/2021,"333.33","335.81","326.29","327.76","4,137,158"
02/24/2021,"320.17","330.97","320.10","330.64","3,934,425"
02/23/2021,"317.98","320.00","310.58","319.21","2,942,528"
02/22/2021,"313.00","320.56","312.21","316.87","3,162,272"
02/19/2021,"310.23","316.78","310.23","315.62","2,749,542"
02/18/2021,"309.22","314.50","307.58","309.90","2,095,144"
02/17/2021,"310.03","314.98","308.76","312.74","2,464,414"
02/16/2021,"310.00","312.92","309.22","311.96","2,792,198"
02/12/2021,"301.99","306.70","301.77","306.32","1,977,298"
02/11/2021,"303.98","305.01","299.17","302.32","2,159,868"
02/10/2021,"300.00","305.18","297.75","304.28","3,213,655"
02/09/2021,"299.60","302.45","297.70","300.46","2,071,700"
02/08/2021,"295.00","300.89","294.50","300.15","2,826,173"
02/05/2021,"295.00","297.24","292.19","293.50","2,938,134"
02/04/2021,"290.00","295.83","289.53","293.75","2,994,699"
02/03/2021,"286.61","289.81","285.18","288.55","2,712,770"
02/02/2021,"278.32","288.25","278.00","286.97","5,195,520"
02/01/2021,"272.66","276.80","272.00","274.73","2,324,088"
01/29/2021,"274.27","277.40","270.62","271.17","3,411,974"
01/28/2021,"274.61","279.83","271.33","275.02","3,778,696"
01/27/2021,"276.00","277.37","271.32","273.33","3,891,838"
01/26/2021,"283.93","285.77","280.08","281.76","3,296,846"
01/25/2021,"285.53","286.35","277.50","283.04","4,575,007"
01/22/2021,"286.69","290.59","285.50","289.39","2,568,757"
01/21/2021,"290.45","292.74","288.53","289.37","2,517,753"
01/20/2021,"295.82","297.45","287.48","290.47","4,792,644"
01/19/2021,"305.00","306.60","293.80","294.20","6,727,794"
01/15/2021,"301.19","304.86","296.88","301.01","3,863,723"
01/14/2021,"304.05","309.41","303.54","307.87","3,192,169"
01/13/2021,"300.08","303.72","299.10","302.94","2,413,821"
01/12/2021,"297.14","303.98","296.02","302.21","4,814,362"
01/11/2021,"286.80","295.00","284.20","293.83","2,650,134"
01/08/2021,"292.00","292.28","285.06","290.08","2,800,784"
01/07/2021,"287.77","295.89","286.68","291.65","4,009,730"
01/06/2021,"276.29","288.38","273.10","285.55","6,383,530"
01/05/2021,"263.88","273.50","262.57","270.93","4,207,081"
01/04/2021,"267.00","267.58","260.16","265.00","3,572,043"
12/31/2020,"258.80","263.93","258.00","263.71","2,043,050"
12/30/2020,"258.81","260.65","257.83","259.45","1,566,767"
12/29/2020,"260.26","260.86","256.50","258.01","1,430,868"
