Date,Open,High,Low,Close,Volume
03/01/2021,"258.81","262.48","258.47","261.62","4,530,280"
02/26/2021,"257.77","260.24","256.11","258.34","7,871,183"
02/25/2021,"259.75","260.90","254.71","255.25","6,545,422"
02/24/2021,"263.23","266.99","254.03","259.97","14,512,740"
02/23/2021,"269.38","269.67","257.58","267.24","12,111,050"
02/22/2021,"278.21","278.49","273.63","275.85","3,995,469"
02/19/2021,"282.87","283.91","279.44","279.64","4,079,946"
02/18/2021,"280.80","284.68","279.83","283.05","3,531,964"
02/17/2021,"275.54","281.79","275.40","280.92","3,537,815"
02/16/2021,"277.01","278.63","274.88","275.39","2,873,454"
02/12/2021,"277.12","278.71","276.58","277.51","2,392,184"
02/11/2021,"277.93","280.25","276.01","277.06","2,595,287"
02/10/2021,"278.03","278.93","276.25","278.69","2,410,575"
02/09/2021,"279.66","280.20","276.62","276.77","2,507,751"
02/08/2021,"279.69","280.42","276.89","280.03","3,475,827"
02/05/2021,"280.29","281.76","277.81","278.86","2,389,915"
02/04/2021,"274.25","279.44","274.25","278.82","2,975,976"
02/03/2021,"271.89","275.72","270.72","274.17","2,802,674"
02/02/2021,"270.00","275.69","269.99","272.16","4,111,756"
02/01/2021,"271.23","272.65","267.25","270.07","3,707,825"
01/29/2021,"275.81","277.06","270.03","270.82","4,079,485"
01/28/2021,"276.17","282.96","274.93","278.05","3,462,967"
01/27/2021,"279.99","280.81","273.08","274.05","4,336,987"
01/26/2021,"285.42","285.65","281.70","282.60","2,472,211"
01/25/2021,"283.85","285.77","281.42","285.08","4,025,905"
01/22/2021,"279.26","285.08","277.87","284.00","4,501,941"
01/21/2021,"276.22","280.70","275.67","279.05","4,401,230"
01/20/2021,"273.25","277.21","271.50","274.30","3,498,412"
01/19/2021,"278.00","278.00","273.02","273.19","3,615,794"
01/15/2021,"268.63","276.39","268.00","275.59","5,131,741"
01/14/2021,"274.50","274.90","267.67","268.34","4,641,421"
01/13/2021,"278.31","280.48","273.94","274.05","3,921,418"
01/12/2021,"271.11","277.94","270.66","276.33","4,030,946"
01/11/2021,"267.47","273.37","267.26","271.23","3,765,227"
01/08/2021,"267.35","270.73","267.00","269.09","3,757,709"
01/07/2021,"266.95","268.78","266.17","266.26","3,833,249"
01/06/2021,"264.06","269.77","261.87","267.57","3,949,198"
01/05/2021,"262.66","266.53","262.26","266.05","3,822,639"
01/04/2021,"266.01","266.44","261.06","263.92","5,001,983"
12/31/2020,"265.57","265.95","263.58","265.62","2,608,139"
12/30/2020,"266.11","267.30","264.92","265.26","2,511,385"
12/29/2020,"269.98","270.46","265.07","266.19","2,572,074"
12/28/2020,"272.17","272.25","269.24","269.25","2,633,841"
12/24/2020,"269.44","271.36","269.40","270.92","1,093,947"
12/23/2020,"270.06","271.00","268.20","269.81","2,337,149"
12/22/2020,"270.06","271.36","268.51","270.04","3,143,451"
12/21/2020,"268.56","271.95","265.88","270.99","4,339,037"
12/18/2020,"274.59","275.74","270.30","270.45","9,817,032"
12/17/2020,"272.16","274.33","271.30","273.97","4,247,048"
12/16/2020,"268.53","270.75","267.51","269.59","4,669,578"
12/15/2020,"267.51","268.76","266.20","267.98","3,756,037"
12/14/2020,"266.14","268.60","265.27","265.58","4,576,775"
12/11/2020,"263.36","265.36","262.65","264.55","3,454,512"
12/10/2020,"264.08","266.07","262.11","264.81","4,234,320"
12/09/2020,"264.61","265.77","262.25","265.58","4,550,125"
12/08/2020,"261.72","262.50","258.73","261.72","5,338,142"
12/07/2020,"263.50","264.50","261.00","262.64","6,378,989"
12/04/2020,"267.47","268.73","262.82","263.99","7,732,829"
12/03/2020,"270.63","271.93","267.14","268.14","4,168,929"
12/02/2020,"273.97","274.11","269.57","271.10","4,168,645"
12/01/2020,"278.73","278.95","275.55","276.60","3,944,872"
11/30/2020,"275.22","277.76","271.92","277.41","4,624,131"
11/27/2020,"275.24","276.58","274.36","275.99","1,625,328"
11/25/2020,"273.48","274.74","271.21","273.96","3,001,748"
11/24/2020,"274.00","275.55","272.57","273.31","4,775,318"
11/23/2020,"270.01","273.69","269.55","271.40","3,294,219"
11/20/2020,"271.45","272.37","268.87","269.81","4,112,543"
11/19/2020,"270.42","272.38","268.70","270.93","3,929,422"
11/18/2020,"270.50","275.38","269.00","269.83","5,122,219"
11/17/2020,"272.10","273.53","269.40","272.47","8,532,219"
11/16/2020,"279.18","281.29","276.40","279.57","5,360,160"
11/13/2020,"276.42","279.73","275.26","277.17","3,941,687"
11/12/2020,"283.00","283.69","273.84","276.24","3,820,310"
11/11/2020,"277.32","281.69","276.17","277.75","2,987,878"
11/10/2020,"272.79","275.79","269.25","275.57","4,828,522"
11/09/2020,"287.98","288.42","269.47","269.97","7,856,419"
