Date,Open,High,Low,Close,Volume
03/01/2021,"109.80","111.60","109.36","110.16","5,715,767"
02/26/2021,"111.53","111.53","108.46","108.50","9,050,990"
02/25/2021,"112.56","113.45","111.61","111.73","5,691,830"
02/24/2021,"110.21","112.66","109.96","112.41","5,819,983"
02/23/2021,"110.32","110.71","109.30","110.13","4,531,464"
02/22/2021,"108.11","110.51","108.06","110.27","5,879,249"
02/19/2021,"110.16","110.17","108.00","108.56","6,578,741"
02/18/2021,"109.94","110.34","109.21","110.15","5,399,145"
02/17/2021,"108.81","109.99","108.59","109.45","3,975,906"
02/16/2021,"109.62","110.03","108.90","109.54","6,639,790"
02/12/2021,"110.39","110.72","109.56","110.21","3,871,195"
02/11/2021,"111.31","111.49","110.06","110.31","5,381,556"
02/10/2021,"112.24","112.59","110.59","111.52","4,866,765"
02/09/2021,"111.21","111.85","110.44","111.40","4,717,014"
02/08/2021,"111.87","113.11","111.67","112.77","5,887,999"
02/05/2021,"110.39","111.13","109.96","111.11","4,565,727"
02/04/2021,"109.40","110.48","108.45","110.41","4,562,124"
02/03/2021,"108.60","109.30","107.77","108.68","6,715,366"
02/02/2021,"108.90","110.39","108.82","108.97","6,341,883"
02/01/2021,"109.39","110.35","108.32","109.97","6,250,508"
01/29/2021,"109.68","110.67","108.48","108.67","11,825,500"
01/28/2021,"112.04","112.40","109.54","109.55","8,084,051"
01/27/2021,"111.38","113.85","110.96","111.73","12,146,540"
01/26/2021,"108.73","111.84","108.04","111.75","10,694,710"
01/25/2021,"108.35","109.06","107.15","108.19","13,686,390"
01/22/2021,"110.12","110.12","107.07","108.21","38,063,527"
01/21/2021,"118.71","120.65","118.65","120.11","12,819,230"
01/20/2021,"118.33","119.57","117.29","118.68","5,598,705"
01/19/2021,"117.95","118.23","116.86","117.71","5,397,956"
01/15/2021,"117.03","117.91","116.48","117.14","4,905,506"
01/14/2021,"116.80","118.75","116.37","117.66","7,503,180"
01/13/2021,"117.83","118.38","115.37","115.79","7,677,739"
01/12/2021,"117.77","118.47","116.72","117.88","3,749,213"
