Date,Open,High,Low,Close,Volume
03/01/2021,"61.72","63.08","61.65","62.88","28,503,500"
02/26/2021,"60.89","61.69","59.68","60.78","38,216,770"
02/25/2021,"62.41","63.54","60.13","60.40","36,393,953"
02/24/2021,"60.53","63.28","60.38","63.19","24,669,869"
02/23/2021,"60.48","61.50","59.17","61.12","27,374,590"
02/22/2021,"61.88","62.70","60.66","60.71","32,288,180"
02/19/2021,"61.91","63.26","61.85","63.01","28,290,119"
02/18/2021,"60.65","61.98","60.64","61.61","17,846,141"
02/17/2021,"61.49","62.19","61.21","61.85","21,065,330"
02/16/2021,"62.00","62.87","61.70","62.47","26,326,301"
02/12/2021,"60.60","62.51","60.43","61.81","26,214,180"
02/11/2021,"59.10","60.99","58.86","60.66","27,539,119"
02/10/2021,"59.30","59.42","58.12","58.86","16,325,150"
02/09/2021,"58.77","59.31","57.94","58.78","28,754,080"
02/08/2021,"58.38","59.22","57.95","59.16","34,358,301"
02/05/2021,"59.00","59.08","58.12","58.18","23,432,609"
02/04/2021,"57.61","58.88","57.19","58.79","29,853,779"
02/03/2021,"57.89","58.33","57.38","57.68","21,893,189"
02/02/2021,"57.19","58.28","56.88","58.00","23,580,891"
02/01/2021,"55.95","57.39","55.71","56.69","26,926,641"
01/29/2021,"55.98","57.16","55.36","55.51","37,256,230"
01/28/2021,"54.79","57.40","54.70","56.07","49,202,559"
01/27/2021,"54.61","54.85","53.30","53.59","49,722,953"
01/26/2021,"55.28","56.20","54.85","55.21","31,485,881"
01/25/2021,"56.38","56.50","54.06","55.44","61,968,551"
01/22/2021,"58.85","59.62","56.65","56.66","85,729,320"
01/21/2021,"59.04","63.95","58.22","62.46","87,156,461"
01/20/2021,"58.24","59.22","58.09","58.67","28,701,260"
01/19/2021,"57.94","58.34","57.10","57.99","35,647,141"
01/15/2021,"58.85","59.65","57.50","57.58","50,265,359"
01/14/2021,"58.45","60.14","57.84","59.25","74,680,891"
01/13/2021,"59.50","60.25","56.90","56.95","124,070,703"
01/12/2021,"51.90","53.85","51.56","53.24","39,883,887"
01/11/2021,"51.29","52.24","51.25","51.54","32,933,281"
01/08/2021,"52.45","52.53","51.27","51.65","34,625,379"
01/07/2021,"51.49","52.69","51.30","52.19","32,092,340"
01/06/2021,"50.44","52.15","50.20","51.10","36,809,641"
01/05/2021,"49.45","50.83","49.33","50.61","24,866,561"
01/04/2021,"49.89","51.39","49.40","49.67","46,102,461"
12/31/2020,"48.75","50.19","48.72","49.82","28,576,789"
12/30/2020,"49.11","49.19","48.56","48.75","37,385,406"
12/29/2020,"47.22","50.67","46.49","49.39","84,531,391"
12/28/2020,"47.19","47.64","46.86","47.07","21,269,170"
12/24/2020,"46.60","47.09","46.34","47.07","11,865,640"
12/23/2020,"46.17","47.03","46.07","46.57","22,564,230"
12/22/2020,"46.25","46.34","45.77","46.17","32,188,770"
12/21/2020,"46.32","46.45","45.24","46.36","53,775,699"
12/18/2020,"50.57","50.68","47.11","47.46","119,298,398"
12/17/2020,"51.15","51.32","50.22","50.65","26,399,020"
12/16/2020,"50.71","51.46","50.68","51.12","28,350,980"
12/15/2020,"50.98","51.01","50.21","50.67","25,472,990"
12/14/2020,"49.82","51.34","49.74","50.47","33,436,398"
12/11/2020,"50.14","50.14","49.12","49.73","29,398,840"
12/10/2020,"49.66","50.72","49.59","50.26","33,705,980"
12/09/2020,"50.28","50.84","49.73","50.07","34,068,391"
12/08/2020,"49.83","50.72","49.81","50.69","28,956,510"
12/07/2020,"51.00","51.29","49.56","50.20","51,040,301"
12/04/2020,"51.06","52.65","51.00","51.99","39,767,719"
12/03/2020,"49.92","51.11","49.78","50.99","50,261,152"
12/02/2020,"49.22","50.06","49.18","49.90","33,753,520"
12/01/2020,"48.75","50.23","48.71","49.56","57,778,191"
11/30/2020,"47.42","48.50","47.27","48.35","46,332,672"
11/27/2020,"47.36","48.10","47.36","47.45","15,921,420"
11/25/2020,"47.03","47.18","46.57","47.05","28,126,891"
11/24/2020,"46.29","47.30","46.01","47.01","33,901,168"
11/23/2020,"45.48","46.21","45.45","46.06","35,489,641"
11/20/2020,"45.66","45.88","45.33","45.39","24,199,279"
11/19/2020,"44.92","45.67","44.70","45.62","29,469,080"
11/18/2020,"45.55","45.69","45.04","45.06","32,817,922"
11/17/2020,"45.75","46.12","45.41","45.53","31,072,061"
11/16/2020,"46.04","46.75","45.79","46.19","36,306,289"
11/13/2020,"44.99","45.58","44.97","45.46","30,898,109"
11/12/2020,"46.13","46.19","44.55","44.95","42,909,922"
11/11/2020,"45.90","46.46","45.86","46.35","31,496,939"
11/10/2020,"45.40","46.48","45.25","45.44","39,224,461"
11/09/2020,"46.64","47.35","45.54","45.60","48,481,727"
11/06/2020,"45.54","45.80","44.90","45.39","36,233,680"
11/05/2020,"46.15","46.38","45.53","45.68","31,103,211"
11/04/2020,"45.11","46.15","44.78","45.70","34,748,152"
11/03/2020,"44.73","45.46","44.70","44.85","33,587,539"
11/02/2020,"44.96","45.06","44.24","44.46","33,856,738"
10/30/2020,"44.10","44.80","43.61","44.28","46,794,168"
10/29/2020,"44.24","44.47","43.92","44.11","36,796,801"
10/28/2020,"44.89","45.29","44.20","44.25","45,066,008"
10/27/2020,"45.98","46.41","45.36","45.64","50,130,520"
10/26/2020,"47.85","47.86","46.25","46.72","54,161,289"
10/23/2020,"48.35","48.67","47.66","48.20","97,322,484"
10/22/2020,"53.12","54.22","53.07","53.90","41,522,738"
10/21/2020,"53.14","54.07","52.82","53.50","21,866,029"
10/20/2020,"54.60","54.70","53.27","53.43","27,224,900"
10/19/2020,"54.47","56.23","53.84","54.58","43,537,219"
10/16/2020,"53.90","54.70","53.90","54.16","23,421,391"
10/15/2020,"52.75","53.98","52.62","53.85","18,272,869"
10/14/2020,"54.01","54.40","53.51","53.55","21,885,109"
10/13/2020,"54.27","54.29","53.62","53.83","20,005,770"
10/12/2020,"53.55","54.20","53.21","53.88","27,303,471"
10/09/2020,"53.55","53.85","52.67","52.82","24,343,900"
10/08/2020,"52.91","53.58","52.67","53.37","22,369,539"
10/07/2020,"51.85","52.90","51.79","52.67","21,978,670"
10/06/2020,"51.71","52.70","51.23","51.37","25,642,789"
10/05/2020,"51.30","51.81","51.27","51.69","20,883,250"
10/02/2020,"51.50","51.98","50.99","51.01","25,811,770"
10/01/2020,"52.40","52.72","51.99","52.24","22,127,580"
09/30/2020,"51.24","52.38","51.15","51.78","27,711,350"
09/29/2020,"51.31","51.74","50.95","51.19","19,687,449"
09/28/2020,"50.51","51.46","50.16","51.43","29,652,250"
09/25/2020,"48.96","50.28","48.75","49.94","26,633,410"
09/24/2020,"48.53","49.64","48.42","49.16","29,343,400"
09/23/2020,"49.83","50.15","48.66","48.82","30,078,801"
