Date,Open,High,Low,Close,Volume
03/01/2021,"161.45","161.53","159.09","159.32","10,551,380"
02/26/2021,"162.00","162.41","157.97","158.46","14,417,550"
02/25/2021,"163.13","163.70","161.99","162.76","9,719,715"
02/24/2021,"162.40","164.39","160.92","162.59","10,286,110"
02/23/2021,"161.48","163.19","160.40","160.44","7,042,829"
02/22/2021,"161.87","162.54","160.29","161.87","6,447,105"
02/19/2021,"165.60","165.96","162.91","162.98","8,190,883"
02/18/2021,"164.96","166.16","164.30","165.74","5,191,590"
02/17/2021,"164.97","166.09","164.36","165.66","6,680,909"
02/16/2021,"166.58","167.05","164.64","165.07","5,656,092"
02/12/2021,"164.40","166.85","164.00","166.58","4,413,066"
02/11/2021,"167.00","167.38","165.60","166.06","4,871,250"
02/10/2021,"167.89","167.94","165.70","166.81","5,921,312"
02/09/2021,"165.20","166.59","164.97","166.27","5,544,214"
02/08/2021,"165.03","165.92","163.88","164.92","6,035,341"
02/05/2021,"164.86","165.44","163.86","164.45","9,495,309"
02/04/2021,"161.00","162.09","159.76","161.99","7,758,128"
02/03/2021,"160.94","161.52","159.57","160.50","8,601,883"
02/02/2021,"163.38","163.66","161.18","161.25","11,443,250"
02/01/2021,"165.31","165.31","162.60","162.71","9,971,395"
01/29/2021,"164.26","166.00","160.55","163.13","22,505,859"
01/28/2021,"168.20","170.86","167.80","169.16","8,944,399"
01/27/2021,"169.12","170.92","167.45","167.88","14,207,290"
01/26/2021,"169.70","173.65","169.39","170.48","14,205,690"
01/25/2021,"165.01","166.09","163.66","165.98","9,924,438"
01/22/2021,"162.36","165.16","161.87","163.55","8,137,018"
01/21/2021,"161.32","162.48","160.06","161.73","6,822,770"
01/20/2021,"163.20","164.14","161.80","162.38","6,839,850"
01/19/2021,"162.00","163.04","161.10","162.78","9,057,555"
01/15/2021,"160.30","161.41","159.11","160.30","7,630,813"
01/14/2021,"160.45","161.95","159.61","160.65","10,030,790"
01/13/2021,"158.23","158.46","156.75","157.89","6,643,065"
01/12/2021,"159.15","159.66","157.33","158.13","6,903,189"
01/11/2021,"160.56","161.32","158.77","159.37","7,068,176"
01/08/2021,"160.51","161.10","159.88","160.04","8,228,938"
01/07/2021,"159.00","161.03","158.35","160.37","7,747,161"
01/06/2021,"157.24","160.23","156.72","159.83","8,230,086"
01/05/2021,"156.25","158.76","155.07","158.34","9,602,290"
01/04/2021,"157.24","157.38","154.13","156.50","11,765,870"
12/31/2020,"156.53","157.66","155.11","157.38","5,099,880"
12/30/2020,"154.74","156.38","154.60","156.05","5,412,775"
12/29/2020,"154.11","154.93","153.80","154.14","5,211,972"
12/28/2020,"153.32","153.87","152.30","153.19","3,855,466"
12/24/2020,"151.85","153.04","151.82","152.47","2,114,901"
12/23/2020,"152.80","153.60","151.90","151.94","4,607,275"
12/22/2020,"152.40","153.90","151.86","152.72","4,703,185"
12/21/2020,"152.01","153.41","150.05","153.02","7,893,359"
12/18/2020,"153.65","155.10","151.67","154.51","17,137,230"
12/17/2020,"150.09","153.89","149.96","153.62","9,920,312"
12/16/2020,"150.20","150.92","149.55","149.67","8,486,069"
12/15/2020,"150.00","150.75","149.53","150.57","7,614,746"
12/14/2020,"153.25","153.48","148.99","149.07","8,547,296"
12/11/2020,"151.53","153.41","151.23","152.95","5,973,255"
12/10/2020,"152.82","152.98","151.68","152.25","7,392,928"
12/09/2020,"152.83","153.50","151.76","153.10","8,440,069"
12/08/2020,"150.00","152.14","149.55","151.55","8,339,847"
12/07/2020,"149.35","149.91","148.51","148.97","6,634,743"
12/04/2020,"149.79","150.31","149.27","150.27","6,747,083"
12/03/2020,"148.04","149.58","147.69","149.00","7,310,486"
12/02/2020,"147.85","149.71","147.70","148.14","7,745,516"
12/01/2020,"146.29","149.13","145.86","147.45","9,741,260"
11/30/2020,"144.23","144.86","143.06","144.68","15,663,240"
11/27/2020,"144.50","144.66","143.22","144.00","3,059,001"
11/25/2020,"144.06","144.17","142.86","143.68","7,594,618"
11/24/2020,"144.00","144.77","143.61","143.87","11,038,820"
11/23/2020,"146.01","146.01","143.04","143.87","7,318,255"
11/20/2020,"147.05","147.94","146.13","146.36","6,356,142"
11/19/2020,"147.30","147.46","145.59","147.14","7,987,716"
11/18/2020,"148.87","149.76","147.37","147.37","6,661,008"
11/17/2020,"150.00","150.63","149.12","149.35","7,297,736"
11/16/2020,"150.92","151.30","149.80","150.85","6,266,384"
11/13/2020,"149.09","150.41","148.41","149.90","5,896,537"
11/12/2020,"147.61","148.65","146.75","148.30","4,712,177"
11/11/2020,"149.17","149.20","146.86","147.80","6,382,407"
11/10/2020,"147.25","148.75","146.26","148.28","7,386,462"
11/09/2020,"148.43","148.99","144.92","146.08","12,351,640"
11/06/2020,"140.40","143.19","139.65","142.25","5,942,538"
11/05/2020,"140.55","141.83","139.26","139.76","8,016,160"
11/04/2020,"139.49","142.54","138.70","139.40","10,263,520"
11/03/2020,"140.02","140.96","137.78","138.50","6,362,978"
11/02/2020,"138.98","139.01","137.49","138.69","7,088,029"
10/30/2020,"136.68","137.54","133.65","137.11","7,364,752"
10/29/2020,"138.00","138.70","136.05","137.19","7,205,409"
10/28/2020,"141.43","141.98","138.18","138.36","8,426,065"
10/27/2020,"143.74","144.29","142.92","143.15","4,890,064"
10/26/2020,"144.43","144.77","142.75","143.97","6,929,472"
10/23/2020,"145.88","147.47","144.35","145.24","4,154,372"
10/22/2020,"144.16","145.69","143.84","145.08","5,280,253"
10/21/2020,"144.12","145.34","143.91","143.93","5,221,348"
10/20/2020,"144.66","145.75","144.12","144.55","5,326,540"
10/19/2020,"148.53","148.90","144.13","144.32","7,250,755"
10/16/2020,"147.60","148.76","147.01","148.10","6,098,404"
10/15/2020,"147.48","147.90","146.33","147.19","5,979,015"
10/14/2020,"148.82","149.03","147.39","148.10","7,707,047"
10/13/2020,"149.00","150.12","147.77","148.36","11,057,570"
10/12/2020,"151.60","153.14","151.02","151.84","7,273,170"
10/09/2020,"149.65","151.48","149.45","150.97","5,054,116"
10/08/2020,"148.50","149.85","148.04","148.89","4,413,531"
10/07/2020,"146.49","148.23","145.81","147.88","5,603,123"
10/06/2020,"148.28","148.61","145.87","146.26","5,118,212"
10/05/2020,"147.00","148.38","146.42","148.23","4,992,758"
10/02/2020,"146.21","148.41","145.83","146.24","5,485,602"
10/01/2020,"149.31","149.65","146.46","147.32","6,457,808"
09/30/2020,"147.45","149.73","146.84","148.88","8,487,691"
