Date,Open,High,Low,Close,Volume
03/01/2021,"149.52","151.38","148.48","150.50","14,845,480"
02/26/2021,"150.30","150.87","146.51","147.17","19,829,180"
02/25/2021,"154.27","154.90","150.59","151.18","18,127,711"
02/24/2021,"150.11","153.76","150.11","153.26","15,061,430"
02/23/2021,"151.51","152.31","149.59","150.61","16,234,410"
02/22/2021,"146.87","150.19","146.79","149.41","11,488,420"
02/19/2021,"145.86","148.84","145.86","148.02","11,969,780"
02/18/2021,"144.00","145.79","143.40","145.59","10,590,270"
02/17/2021,"143.95","145.38","143.12","145.10","10,834,190"
02/16/2021,"143.55","145.32","142.40","144.65","12,130,620"
02/12/2021,"139.05","141.61","139.00","141.25","8,324,562"
02/11/2021,"139.66","140.55","138.22","139.27","9,200,955"
02/10/2021,"140.00","140.87","139.04","139.66","10,323,200"
02/09/2021,"139.43","139.98","138.54","139.58","8,614,807"
02/08/2021,"138.20","140.30","138.18","140.14","10,136,380"
02/05/2021,"139.39","139.49","137.38","137.98","10,051,270"
02/04/2021,"135.47","138.66","135.47","138.25","12,419,530"
02/03/2021,"133.65","135.76","133.51","135.14","10,600,780"
02/02/2021,"131.94","134.39","131.22","133.61","12,253,570"
02/01/2021,"129.40","130.07","128.48","129.62","11,080,660"
01/29/2021,"131.19","131.72","128.19","128.67","14,808,110"
01/28/2021,"129.90","132.17","128.99","130.11","13,761,760"
01/27/2021,"129.59","129.85","127.35","127.86","17,603,850"
01/26/2021,"132.75","133.17","131.34","131.58","11,307,820"
01/25/2021,"132.14","133.17","130.06","132.12","14,212,760"
01/22/2021,"132.69","134.40","132.20","133.79","12,933,230"
01/21/2021,"135.69","136.16","134.33","134.83","13,415,020"
01/20/2021,"137.82","138.17","135.44","135.97","16,028,850"
01/19/2021,"139.86","140.70","137.82","138.04","19,843,779"
01/15/2021,"137.43","141.65","137.01","138.64","27,881,020"
01/14/2021,"140.49","142.75","140.00","141.17","18,565,600"
01/13/2021,"138.59","140.79","138.10","140.35","14,816,760"
01/12/2021,"139.44","141.66","138.83","140.22","18,033,461"
01/11/2021,"134.58","138.20","134.11","138.05","15,949,050"
01/08/2021,"135.97","136.35","134.12","136.02","12,035,130"
01/07/2021,"135.69","138.19","134.92","135.87","21,940,391"
01/06/2021,"129.88","132.77","127.88","131.55","24,909,061"
01/05/2021,"124.99","126.30","123.77","125.65","13,731,210"
01/04/2021,"127.50","127.86","124.78","125.87","16,819,920"
12/31/2020,"125.09","127.33","124.82","127.07","8,580,214"
12/30/2020,"125.49","125.85","124.90","125.36","7,397,964"
12/29/2020,"126.20","126.28","124.89","125.01","8,389,199"
12/28/2020,"125.82","126.65","124.79","125.34","8,072,641"
12/24/2020,"125.09","125.55","123.57","124.52","4,164,948"
12/23/2020,"122.78","126.52","122.35","125.07","14,973,230"
12/22/2020,"123.39","123.52","121.61","121.67","11,808,880"
12/21/2020,"123.17","125.00","121.09","123.55","28,323,641"
12/18/2020,"119.14","119.88","118.27","119.08","28,954,760"
12/17/2020,"121.26","121.45","119.58","119.67","11,618,000"
12/16/2020,"120.30","121.08","119.86","120.67","11,169,360"
12/15/2020,"119.29","120.90","118.62","120.32","12,591,420"
12/14/2020,"121.34","121.42","118.11","118.30","12,112,350"
12/11/2020,"118.94","120.02","118.37","119.56","9,981,643"
12/10/2020,"119.99","120.78","119.56","120.27","13,668,420"
12/09/2020,"123.17","123.30","120.44","121.05","13,073,930"
12/08/2020,"121.04","122.33","120.76","122.00","9,592,124"
