Date,Open,High,Low,Close,Volume
03/01/2021,"49.44","50.44","49.40","49.90","13,904,860"
02/26/2021,"50.20","50.21","48.97","48.99","23,638,350"
02/25/2021,"50.47","50.75","49.98","50.17","14,211,090"
02/24/2021,"50.39","50.90","50.13","50.71","14,442,000"
02/23/2021,"51.00","51.51","50.42","50.54","16,222,250"
02/22/2021,"49.85","50.88","49.67","50.63","14,370,880"
02/19/2021,"50.79","50.83","49.97","50.11","15,968,770"
02/18/2021,"50.16","50.85","50.03","50.77","12,749,840"
02/17/2021,"50.00","50.49","49.89","50.13","12,810,510"
02/16/2021,"50.62","50.72","50.16","50.27","15,093,410"
02/12/2021,"50.57","50.85","50.39","50.69","13,137,060"
02/11/2021,"49.81","50.59","49.80","50.30","21,928,580"
02/10/2021,"50.41","50.58","49.53","49.60","22,965,430"
02/09/2021,"49.85","50.02","49.63","49.70","14,592,920"
02/08/2021,"49.96","50.17","49.49","49.92","17,833,221"
02/05/2021,"49.50","49.78","49.27","49.65","12,742,030"
02/04/2021,"48.96","49.07","48.65","49.01","20,597,410"
02/03/2021,"48.95","49.09","48.67","48.77","12,274,120"
02/02/2021,"48.80","49.35","48.63","48.96","13,319,750"
02/01/2021,"48.27","48.69","48.18","48.48","12,183,610"
01/29/2021,"49.03","49.12","48.11","48.15","18,670,260"
01/28/2021,"48.69","49.50","48.61","49.15","17,498,869"
01/27/2021,"48.89","49.32","48.23","48.53","21,242,410"
01/26/2021,"48.91","49.40","48.61","49.29","12,922,630"
01/25/2021,"48.42","48.84","48.24","48.78","16,604,211"
01/22/2021,"48.81","48.94","48.49","48.49","15,400,350"
01/21/2021,"48.78","49.09","48.46","48.95","19,707,199"
01/20/2021,"48.54","48.82","48.31","48.68","23,115,801"
01/19/2021,"48.74","49.04","48.24","48.51","29,114,471"
01/15/2021,"49.16","49.18","48.53","48.70","24,366,789"
01/14/2021,"50.16","50.18","49.22","49.23","34,303,578"
01/13/2021,"49.98","50.36","49.95","50.16","18,864,150"
01/12/2021,"50.04","50.37","49.76","50.11","18,538,660"
01/11/2021,"50.62","50.86","49.95","50.20","19,310,580"
01/08/2021,"50.03","51.13","49.84","51.08","29,673,949"
01/07/2021,"50.09","50.26","49.52","49.96","53,225,699"
01/06/2021,"51.97","52.02","50.19","50.52","38,724,520"
01/05/2021,"52.33","52.62","52.03","52.18","20,323,820"
01/04/2021,"54.27","54.63","52.03","52.76","25,611,100"
12/31/2020,"54.45","54.93","54.27","54.84","8,494,972"
12/30/2020,"54.05","54.63","54.03","54.44","8,142,749"
12/29/2020,"54.45","54.49","54.02","54.13","8,320,600"
12/28/2020,"53.85","54.44","53.73","54.16","9,020,482"
12/24/2020,"53.02","53.55","53.02","53.44","3,265,532"
12/23/2020,"52.95","53.39","52.94","53.08","7,040,628"
12/22/2020,"52.81","53.18","52.39","52.76","9,691,586"
12/21/2020,"52.68","53.00","51.98","52.81","14,926,600"
12/18/2020,"53.08","53.84","52.62","53.74","35,480,121"
12/17/2020,"53.30","53.71","53.15","53.27","12,677,330"
12/16/2020,"53.60","53.80","52.94","53.06","15,679,650"
12/15/2020,"53.79","54.22","53.60","53.84","16,194,490"
12/14/2020,"53.65","53.84","53.18","53.27","22,292,029"
12/11/2020,"52.80","53.54","52.78","53.35","10,638,100"
12/10/2020,"53.40","53.51","52.98","53.05","12,097,340"
12/09/2020,"53.37","53.60","53.00","53.33","11,508,590"
12/08/2020,"52.94","53.48","52.79","53.18","12,485,800"
12/07/2020,"53.76","53.78","52.70","52.99","16,210,860"
12/04/2020,"52.78","53.87","52.76","53.85","18,122,400"
12/03/2020,"51.90","52.94","51.90","52.78","17,318,881"
12/02/2020,"51.90","52.13","51.64","52.11","14,913,070"
12/01/2020,"52.14","52.33","51.79","52.04","18,969,340"
11/30/2020,"52.09","52.19","51.08","51.60","43,203,594"
11/27/2020,"53.11","53.19","52.61","52.70","8,499,289"
11/25/2020,"53.07","53.28","52.79","52.93","10,194,760"
11/24/2020,"53.14","53.59","53.02","53.22","13,836,370"
11/23/2020,"52.95","53.17","52.20","52.68","13,194,020"
11/20/2020,"53.19","53.25","52.59","52.67","15,647,920"
