Date,Open,High,Low,Close,Volume
03/01/2021,"207.35","210.38","207.35","208.25","2,827,891"
02/26/2021,"210.75","211.64","206.14","206.14","5,333,957"
02/25/2021,"212.70","212.92","209.74","210.95","3,131,399"
02/24/2021,"210.84","214.10","210.42","213.27","2,887,130"
02/23/2021,"214.50","215.70","210.43","211.32","3,243,046"
02/22/2021,"211.50","213.00","209.69","212.06","2,911,052"
02/19/2021,"215.29","215.73","211.97","212.24","3,181,592"
02/18/2021,"213.29","215.86","212.65","215.43","2,190,987"
02/17/2021,"213.96","214.89","212.63","213.45","3,304,816"
02/16/2021,"214.37","216.94","213.83","215.03","2,893,080"
02/12/2021,"214.00","214.70","212.99","213.90","2,781,322"
02/11/2021,"214.54","214.80","212.40","214.27","2,583,649"
02/10/2021,"216.88","217.31","213.81","214.40","3,161,598"
02/09/2021,"212.07","216.18","211.77","215.98","3,047,287"
02/08/2021,"212.53","212.99","209.96","211.58","2,696,298"
02/05/2021,"212.59","214.18","212.01","212.58","2,600,218"
02/04/2021,"210.00","212.11","208.67","211.03","2,777,644"
02/03/2021,"208.35","209.99","207.93","208.71","3,020,703"
02/02/2021,"208.09","212.63","207.65","209.76","2,786,000"
02/01/2021,"208.48","209.69","206.60","207.93","2,812,476"
01/29/2021,"205.11","209.40","203.11","207.84","5,203,314"
01/28/2021,"208.63","210.36","205.13","206.82","5,401,592"
01/27/2021,"212.39","213.15","207.00","207.00","5,464,011"
01/26/2021,"212.51","215.51","212.17","215.38","2,907,817"
01/25/2021,"212.22","214.05","210.56","213.34","2,615,384"
01/22/2021,"212.51","214.14","211.17","213.38","2,196,479"
01/21/2021,"214.06","215.96","213.32","213.53","2,676,309"
01/20/2021,"210.15","214.41","209.63","213.63","4,077,731"
01/19/2021,"210.68","211.00","207.88","209.09","3,331,595"
01/15/2021,"207.97","210.70","207.42","209.91","3,593,732"
01/14/2021,"212.10","212.67","208.00","208.50","3,666,716"
01/13/2021,"210.91","213.13","210.90","212.09","2,069,926"
01/12/2021,"213.69","214.33","210.94","211.60","2,951,952"
01/11/2021,"215.09","216.12","213.12","214.23","2,545,893"
01/08/2021,"212.90","216.12","212.23","215.87","2,639,146"
01/07/2021,"213.22","213.22","210.56","211.98","3,142,014"
01/06/2021,"211.30","211.71","209.03","211.00","3,083,426"
01/05/2021,"210.18","211.95","209.62","211.48","2,576,065"
01/04/2021,"214.49","214.72","208.22","210.22","4,055,409"
