Date,Open,High,Low,Close,Volume
03/01/2021,"154.46","157.78","145.25","157.40","15,351,560"
02/26/2021,"157.98","159.60","150.88","154.81","13,445,240"
02/25/2021,"150.78","160.98","145.86","148.38","15,172,130"
02/24/2021,"150.41","151.00","143.47","144.79","9,757,204"
02/23/2021,"151.25","153.00","136.00","150.17","15,509,170"
02/22/2021,"167.80","170.35","158.58","159.37","11,152,700"
02/19/2021,"173.54","179.30","170.53","174.74","6,413,592"
02/18/2021,"171.59","175.47","168.00","169.57","5,124,102"
02/17/2021,"174.28","178.01","171.62","176.76","6,554,586"
02/16/2021,"182.41","184.18","173.51","178.53","6,917,541"
02/12/2021,"184.89","185.00","177.58","183.74","5,705,535"
02/11/2021,"178.29","184.22","176.20","183.44","5,464,092"
02/10/2021,"182.74","185.22","176.37","179.34","7,067,541"
02/09/2021,"186.21","187.00","177.27","179.52","8,403,123"
02/08/2021,"177.00","189.26","176.81","185.98","12,940,160"
02/05/2021,"170.99","177.50","170.26","176.24","8,990,045"
02/04/2021,"166.42","173.73","164.25","173.31","10,618,280"
02/03/2021,"156.60","168.39","156.40","165.86","11,355,920"
02/02/2021,"158.52","159.05","147.10","158.58","14,923,860"
02/01/2021,"173.03","174.50","154.30","157.48","22,056,529"
01/29/2021,"174.99","185.98","166.20","173.16","39,687,301"
01/28/2021,"154.11","168.00","153.62","159.55","16,497,369"
01/27/2021,"151.20","164.55","149.00","155.73","20,262,920"
01/26/2021,"145.15","154.55","145.00","151.93","16,964,730"
01/25/2021,"138.40","147.43","137.25","147.00","26,970,869"
01/22/2021,"132.50","135.87","128.90","131.02","10,067,190"
01/21/2021,"125.28","137.00","125.25","132.98","20,880,840"
01/20/2021,"124.51","126.01","122.25","125.14","8,001,568"
01/19/2021,"122.10","126.36","120.50","125.01","16,528,900"
01/15/2021,"129.60","133.29","126.58","129.65","15,769,540"
01/14/2021,"122.80","130.98","122.80","129.72","13,346,730"
01/13/2021,"123.70","127.58","120.74","124.06","14,324,640"
01/12/2021,"117.93","124.91","117.12","124.55","15,300,720"
01/11/2021,"112.75","121.24","112.62","117.26","16,650,650"
01/08/2021,"116.52","117.71","111.49","112.75","12,376,940"
01/07/2021,"120.10","122.82","112.13","115.09","20,614,070"
01/06/2021,"111.11","116.93","110.28","116.26","21,590,930"
01/05/2021,"113.82","114.98","107.20","109.18","15,450,800"
01/04/2021,"107.23","113.63","103.26","111.73","22,439,551"
12/31/2020,"110.55","113.55","102.66","104.47","23,369,869"
12/30/2020,"118.40","118.94","108.80","111.13","23,965,539"
12/29/2020,"107.80","116.25","106.88","114.39","23,718,801"
12/28/2020,"120.04","122.88","111.05","111.40","31,088,170"
12/24/2020,"125.94","129.70","122.72","123.39","12,720,590"
12/23/2020,"120.05","132.00","115.00","130.34","41,905,039"
12/22/2020,"139.00","141.40","123.00","125.88","36,126,941"
12/21/2020,"140.84","147.26","137.79","138.30","23,921,051"
12/18/2020,"141.51","145.00","135.06","140.23","33,157,828"
12/17/2020,"137.92","146.97","137.30","144.00","32,404,461"
12/16/2020,"137.75","141.33","134.31","137.03","28,476,279"
12/15/2020,"157.00","157.28","142.46","147.22","36,451,262"
12/14/2020,"163.40","163.76","152.56","155.07","22,467,740"
12/11/2020,"159.70","163.75","155.89","156.93","22,069,859"
12/10/2020,"151.13","159.50","148.01","155.69","22,059,971"
12/09/2020,"170.20","170.80","147.20","156.59","40,951,699"
12/08/2020,"165.75","170.51","164.30","169.86","27,738,721"
12/07/2020,"155.03","163.98","152.97","159.52","31,409,840"
12/04/2020,"157.59","157.82","148.51","152.52","27,704,830"
12/03/2020,"143.50","159.11","143.01","157.26","38,656,512"
12/02/2020,"138.63","149.80","128.10","143.00","51,217,328"
12/01/2020,"177.66","178.50","130.33","141.01","125,552,305"
11/30/2020,"144.00","153.87","141.05","152.74","73,203,055"
11/27/2020,"115.12","130.06","114.86","127.03","43,438,500"
11/25/2020,"99.03","109.29","98.65","109.18","25,850,689"
11/24/2020,"98.40","99.89","93.54","98.56","12,515,340"
11/23/2020,"100.77","101.77","98.62","101.03","16,359,620"
11/20/2020,"95.00","98.43","94.82","97.61","15,306,300"
11/19/2020,"90.00","94.65","89.51","92.77","16,002,020"
11/18/2020,"93.87","94.00","88.61","88.89","21,823,449"
11/17/2020,"97.23","97.80","91.60","93.15","26,171,961"
11/16/2020,"100.31","103.20","93.30","97.95","70,853,055"
11/13/2020,"86.62","90.53","85.22","89.39","14,176,720"
11/12/2020,"85.18","87.93","83.83","87.81","21,750,391"
11/11/2020,"77.05","83.98","76.13","82.44","18,576,500"
11/10/2020,"80.00","80.38","73.52","76.05","10,499,400"
11/09/2020,"77.75","80.25","75.42","77.74","20,266,811"
11/06/2020,"71.42","74.16","70.87","72.45","5,841,047"
11/05/2020,"71.09","71.59","70.16","71.48","4,449,850"
11/04/2020,"68.97","71.55","68.92","69.81","5,442,067"
11/03/2020,"66.75","69.25","66.59","69.08","4,366,928"
11/02/2020,"68.02","68.60","66.55","67.11","4,650,268"
10/30/2020,"70.80","71.49","66.85","67.47","7,085,797"
10/29/2020,"68.35","74.54","66.23","71.28","13,776,430"
10/28/2020,"68.95","69.47","65.49","65.74","6,043,991"
10/27/2020,"70.45","71.35","68.81","70.67","3,812,879"
10/26/2020,"70.36","71.32","68.70","70.24","3,872,799"
10/23/2020,"72.30","72.40","68.80","70.53","3,735,087"
10/22/2020,"68.50","72.53","68.40","70.84","5,212,065"
10/21/2020,"71.57","71.58","68.06","68.37","4,614,813"
10/20/2020,"72.07","73.10","70.65","71.31","5,441,299"
10/19/2020,"73.97","74.09","70.50","70.96","6,931,283"
10/16/2020,"76.06","76.93","73.67","73.94","4,693,584"
10/15/2020,"75.48","76.49","73.71","75.58","5,014,595"
10/14/2020,"80.01","80.01","76.33","76.56","6,643,833"
