Date,Close,Open,High,Low,Vol.,Change %
3/1/2021,45.69,45.34,45.81,44.99,413.28K,2.91%
2/26/2021,44.4,44.86,45.26,43.97,438.09K,-0.65%
2/25/2021,44.69,45.67,45.88,44.58,282.19K,-2.47%
2/24/2021,45.82,44.55,46.08,44.47,439.09K,2.48%
2/23/2021,44.71,44.61,44.96,43.73,392.40K,-1.19%
2/22/2021,45.25,46.3,46.3,45.13,590.72K,-2.33%
2/19/2021,46.33,45.52,46.5,45.43,440.43K,1.36%
2/18/2021,45.71,45.61,45.99,45.27,475.16K,-0.02%
2/17/2021,45.72,46.44,46.44,45.2,573.50K,-1.74%
2/16/2021,46.53,46.54,47.01,46.18,678.80K,0.22%
2/12/2021,46.43,46.64,46.9,45.92,586.97K,-0.32%
2/11/2021,46.58,45.19,46.59,44.88,932.91K,3.42%
2/10/2021,45.04,44.56,45.35,44.43,865.85K,1.28%
2/9/2021,44.47,43.25,44.68,42.97,1.14M,3.04%
2/8/2021,43.16,42.19,43.3,42.15,605.68K,2.74%
2/5/2021,42.01,41.69,42.05,41.21,879.51K,0.77%
2/4/2021,41.69,41.52,41.88,41.27,873.17K,0.07%
2/3/2021,41.66,42.38,42.49,41.45,614.39K,-1.26%
2/2/2021,42.19,42.33,42.62,41.79,627.76K,-0.21%
2/1/2021,42.28,41.63,42.57,41.43,917.35K,2.13%
1/29/2021,41.4,44.5,44.98,41.39,1.96M,-2.86%
1/28/2021,42.62,43.58,43.65,42.62,945.95K,-0.77%
1/27/2021,42.95,43.02,43.64,42.4,918.81K,-1.40%
1/26/2021,43.56,44.64,44.71,43.45,902.91K,-1.64%
1/25/2021,44.28,44.31,44.42,43.41,2.00M,0.26%
1/22/2021,44.17,44.65,45.26,44.08,1.28M,-1.65%
1/21/2021,44.91,45.87,46.01,44.84,724.35K,-1.66%
1/20/2021,45.67,46.2,46.2,45.29,1.09M,-0.09%
1/19/2021,45.71,45.94,47.08,45.53,859.69K,0.48%
1/15/2021,45.49,45.87,46.18,45.44,493.29K,-1.54%
1/14/2021,46.2,46.53,46.85,45.93,927.00K,-0.35%
1/13/2021,46.36,46.85,47,46.35,421.34K,-1.34%
1/12/2021,46.99,46.64,47.4,46.4,949.88K,0.51%
1/11/2021,46.75,46.16,46.85,45.44,497.03K,1.34%
1/8/2021,46.13,46.3,46.79,45.69,857.65K,0.63%
1/7/2021,45.84,44.64,46,44.39,1.06M,3.83%
1/6/2021,44.15,43.19,44.39,43,1.83M,2.53%
1/5/2021,43.06,42.63,43.44,42.01,723.23K,0.05%
1/4/2021,43.04,43.96,44.38,42.71,739.52K,-2.05%
12/31/2020,43.94,43.57,44.22,43.41,487.35K,0.60%
12/30/2020,43.68,43.29,44.11,43.29,369.39K,1.42%
12/29/2020,43.07,43.55,43.55,42.67,460.39K,-0.69%
12/28/2020,43.37,43.51,43.69,43.11,920.70K,0.63%
12/24/2020,43.1,43.17,43.26,42.57,362.77K,0.12%
12/23/2020,43.05,42.82,43.28,41.43,1.01M,0.99%
12/22/2020,42.63,43,43.06,42.32,1.06M,-0.54%
12/21/2020,42.86,43.15,43.15,41.79,1.13M,-0.79%
12/18/2020,43.2,41.87,43.34,41.16,2.58M,3.60%
12/17/2020,41.7,40.99,41.81,40.87,762.35K,1.44%
12/16/2020,41.11,41.38,41.47,40.74,780.34K,-0.41%
12/15/2020,41.28,40.27,41.28,38.52,990.17K,3.17%
12/14/2020,40.01,40.3,40.65,39.89,736.29K,0.15%
12/11/2020,39.95,39.27,40.19,39.17,1.09M,0.86%
12/10/2020,39.61,38.66,39.66,38.56,450.38K,1.38%
12/9/2020,39.07,39.45,39.81,38.88,404.13K,-0.89%
12/8/2020,39.42,39.28,39.84,39.28,613.74K,-0.18%
12/7/2020,39.49,39.74,39.74,39.13,578.40K,-0.65%
12/4/2020,39.75,39.04,39.76,37.99,745.35K,2.61%
12/3/2020,38.74,38.98,39.2,38.13,875.16K,-0.49%
12/2/2020,38.93,38.64,39.04,38.1,1.11M,0.23%
12/1/2020,38.84,37.85,39.04,37.43,1.36M,3.77%
11/30/2020,37.43,37.4,37.52,36.34,1.12M,-0.16%
11/27/2020,37.49,37.26,37.52,36.81,258.52K,0.54%
11/25/2020,37.29,37.25,37.87,36.15,1.28M,-0.77%
11/24/2020,37.58,37,37.62,36.22,639.36K,2.37%
11/23/2020,36.71,36.2,36.8,35.97,380.51K,1.83%
11/20/2020,36.05,35.48,36.1,34.77,459.94K,1.75%
11/19/2020,35.43,35.18,35.48,34.84,404.54K,0.97%
11/18/2020,35.09,35.56,35.74,35.06,468.79K,-1.13%
11/17/2020,35.49,34.96,35.58,34.62,409.70K,0.71%
11/16/2020,35.24,35.06,35.51,34.69,478.49K,1.21%
11/13/2020,34.82,34.15,34.9,33.74,858.18K,2.17%
11/12/2020,34.08,34.6,34.63,33.51,721.56K,-1.59%
11/11/2020,34.63,34.3,34.67,33.94,1.08M,1.55%
11/10/2020,34.1,34.56,34.72,33.88,651.89K,-1.27%
11/9/2020,34.54,35.74,36.59,34.51,684.48K,1.35%
11/6/2020,34.08,33.59,34.13,33.42,481.62K,1.16%
11/5/2020,33.69,33.69,34,33.49,379.64K,1.29%
11/4/2020,33.26,32.38,33.56,32.32,409.25K,2.43%
11/3/2020,32.47,32.78,33.42,32.4,524.51K,0.28%
11/2/2020,32.38,31.67,32.49,31.53,811.79K,3.52%
10/30/2020,31.28,31.47,32.26,30.42,1.76M,-6.65%
10/29/2020,33.51,33.12,33.71,32.73,652.62K,0.99%
10/28/2020,33.18,33.49,33.71,33.01,698.65K,-2.47%
10/27/2020,34.02,34.61,34.79,33.85,578.39K,-1.56%
