Date,Close,Open,High,Low,Vol.,Change %
3/1/2021,137.65,135.64,139.15,135.5,5.72M,2.13%
2/26/2021,134.78,135.9,136.85,133.36,6.65M,-0.56%
2/25/2021,135.54,137.6,139.18,134.53,5.67M,-0.08%
2/24/2021,135.65,135.06,135.96,133.95,6.36M,-0.35%
2/23/2021,136.13,136.03,136.83,131.58,10.36M,-0.40%
2/22/2021,136.67,141.54,142.46,136.26,8.99M,-3.77%
2/19/2021,142.02,145.43,145.5,141.5,7.49M,-2.12%
2/18/2021,145.09,142.98,145.39,141.21,4.49M,0.76%
2/17/2021,143.99,141.3,144.56,140.21,6.44M,1.61%
2/16/2021,141.71,143.37,143.37,141.03,4.87M,-0.29%
2/12/2021,142.12,143.11,143.45,141.4,3.64M,-0.99%
2/11/2021,143.54,143,144.35,142.41,3.83M,0.76%
2/10/2021,142.46,142.45,142.6,140.9,4.13M,0.47%
2/9/2021,141.79,143.6,144.22,141.7,3.44M,-1.13%
2/8/2021,143.41,145.15,145.88,142.8,6.30M,-1.17%
2/5/2021,145.11,141.34,145.57,141.29,6.15M,3.19%
2/4/2021,140.63,139.55,141.05,138.92,4.53M,1.44%
2/3/2021,138.63,139.7,140.06,138.01,4.68M,-0.69%
2/2/2021,139.59,137.06,139.86,136.75,7.13M,2.86%
2/1/2021,135.71,135.37,136.05,133.3,4.37M,1.59%
1/29/2021,133.59,133.95,135.02,132.15,7.17M,-0.84%
1/28/2021,134.72,132.36,136.37,131.5,6.24M,2.82%
1/27/2021,131.02,132.22,132.86,130.27,7.82M,-3.02%
1/26/2021,135.1,137.76,137.85,134.71,5.31M,-1.78%
1/25/2021,137.55,138.99,139.18,134.74,6.00M,-1.29%
1/22/2021,139.35,141.09,141.88,139.31,4.15M,-1.60%
1/21/2021,141.61,142.41,143.81,141.13,4.01M,-0.83%
1/20/2021,142.8,140.38,143.21,140.01,4.65M,2.53%
1/19/2021,139.27,140.99,141.22,138.41,6.54M,-1.03%
1/15/2021,140.72,140.56,142.38,139.88,6.41M,-0.41%
1/14/2021,141.3,143.66,144.9,140.93,4.10M,-1.22%
1/13/2021,143.04,144.83,145.13,142.43,3.33M,-1.39%
1/12/2021,145.05,146.5,146.85,144.38,3.68M,-1.36%
1/11/2021,147.05,146,147.1,144.8,4.25M,0.48%
1/8/2021,146.35,145.55,146.82,144.9,3.95M,0.97%
1/7/2021,144.95,143.2,145.64,143,5.26M,1.83%
1/6/2021,142.35,141.25,143.57,139.53,6.07M,0.79%
1/5/2021,141.23,138.6,141.66,138.6,4.16M,0.81%
1/4/2021,140.1,142.85,142.97,138.32,6.18M,-0.97%
12/31/2020,141.47,141.7,141.79,140.37,2.95M,-0.08%
12/30/2020,141.58,142.16,142.61,140.66,3.05M,0.01%
12/29/2020,141.57,142.83,143.06,140.43,3.23M,-0.60%
12/28/2020,142.43,142.54,142.92,141.04,4.08M,0.59%
12/24/2020,141.6,141.1,142.19,141.1,1.82M,-0.11%
12/23/2020,141.76,142.56,143.6,141.7,3.39M,-0.48%
12/22/2020,142.45,143.05,143.47,141.09,6.34M,-1.09%
12/21/2020,144.02,144.82,147.95,142.51,16.11M,4.91%
12/18/2020,137.28,141.09,141.14,137.17,17.97M,-2.29%
12/17/2020,140.5,139.92,140.74,138.75,8.73M,1.56%
12/16/2020,138.34,139.07,140.49,137.46,6.57M,-0.75%
12/15/2020,139.39,137.43,139.44,137.25,7.64M,2.28%
12/14/2020,136.28,138.92,139,136.2,7.60M,-0.82%
12/11/2020,137.41,137.39,138.14,136.23,4.17M,-0.12%
12/10/2020,137.58,138.28,139.14,137.24,4.51M,-0.87%
12/9/2020,138.79,140.57,140.57,138.27,4.34M,-0.24%
12/8/2020,139.12,138.24,140.44,137.65,6.95M,0.27%
12/7/2020,138.75,137,138.86,136.8,4.59M,1.14%
12/4/2020,137.19,137.08,137.4,135.64,4.34M,0.17%
12/3/2020,136.96,135.1,137.95,135,4.93M,1.02%
12/2/2020,135.58,135.16,136.32,134.67,4.13M,0.10%
12/1/2020,135.44,136.44,136.5,134.75,3.83M,0.55%
11/30/2020,134.7,133.91,135.29,132.69,9.65M,0.34%
11/27/2020,134.25,136,136.13,133.34,3.51M,-0.95%
11/25/2020,135.54,134.25,135.8,133.62,4.48M,0.62%
11/24/2020,134.7,135,135.99,134.21,7.21M,0.42%
11/23/2020,134.13,134.38,134.89,133.09,6.12M,0.86%
11/20/2020,132.98,133.3,133.53,131.91,4.32M,0.81%
11/19/2020,131.91,131.92,132.11,129.93,4.64M,0.21%
11/18/2020,131.63,133.07,133.98,131.53,5.57M,-0.44%
11/17/2020,132.21,130.48,132.6,129.11,7.00M,1.61%
11/16/2020,130.11,129.46,130.32,127.37,6.12M,1.43%
11/13/2020,128.28,127.91,128.6,126.83,3.99M,1.30%
11/12/2020,126.64,126.62,127.84,125.63,4.80M,-0.80%
11/11/2020,127.66,128.69,129.8,127.18,6.06M,-0.04%
11/10/2020,127.71,130.05,130.12,126.25,8.01M,-0.96%
11/9/2020,128.95,135.06,136.35,128.77,7.49M,0.04%
11/6/2020,128.9,129.91,129.91,128.35,2.95M,-0.62%
11/5/2020,129.7,129.19,130.41,128.46,3.94M,1.85%
11/4/2020,127.34,125.33,128.93,125.26,5.06M,2.21%
11/3/2020,124.59,124.01,125.5,123.19,3.49M,1.80%
11/2/2020,122.39,122.37,124.1,121.1,4.74M,1.92%
10/30/2020,120.08,123.66,123.66,118.8,7.79M,-2.26%
10/29/2020,122.86,122.28,124.19,121.15,4.95M,0.64%
10/28/2020,122.08,125.28,126.4,121.04,8.62M,-4.62%
10/27/2020,127.99,128.78,129.49,127.9,2.99M,-0.30%
10/26/2020,128.37,129.06,129.62,126.68,5.42M,-1.25%
10/23/2020,129.99,130,130.6,128.65,4.05M,-0.02%
10/22/2020,130.02,129.6,130.26,128.86,2.87M,0.46%
10/21/2020,129.43,128.5,131.38,128.45,4.92M,0.73%
10/20/2020,128.49,128,129.9,127.72,3.80M,0.83%
10/19/2020,127.43,129.1,129.78,127.05,5.16M,-0.45%
10/16/2020,128,129.51,130.19,127.55,6.01M,-0.78%
10/15/2020,129,126.48,129.1,126.11,4.24M,1.05%
10/14/2020,127.66,129.53,129.6,127.01,3.59M,-1.19%
10/13/2020,129.2,128.05,129.87,127.96,4.25M,-0.20%
10/12/2020,129.46,131.19,131.34,129.26,5.14M,-1.16%
10/9/2020,130.98,129.99,131.19,129.33,4.29M,0.98%
10/8/2020,129.71,130.4,130.93,129.51,3.60M,-0.27%
10/7/2020,130.06,128.4,130.41,128.25,4.39M,1.89%
10/6/2020,127.65,128.84,130.44,127.27,5.98M,-0.20%
10/5/2020,127.91,127.07,128.5,126.45,8.27M,1.00%
10/2/2020,126.64,124.35,126.8,123.59,7.49M,0.00%
10/1/2020,126.64,127.73,127.73,125.31,5.64M,0.88%
9/30/2020,125.54,126.1,127.28,125.16,8.70M,-0.64%
9/29/2020,126.35,124.34,127.1,123.96,7.80M,1.63%
9/28/2020,124.32,125.16,126.19,123.89,7.52M,0.07%
9/25/2020,124.23,123.65,124.75,122.27,9.18M,-0.42%
9/24/2020,124.75,126.44,127.54,123.3,13.49M,-1.86%
9/23/2020,127.11,130.22,130.38,125.26,37.82M,8.76%
9/22/2020,116.87,113.1,117.2,112.85,13.01M,3.09%
9/21/2020,113.37,112.95,114.06,111.74,8.49M,-1.13%
9/18/2020,114.66,115.43,117.91,114.49,12.88M,-1.46%
9/17/2020,116.36,117.34,118.55,115.8,7.38M,-1.88%
9/16/2020,118.59,118.31,119.69,118.16,7.03M,-0.57%
9/15/2020,119.27,119.7,120.48,119.18,5.93M,-0.01%
9/14/2020,119.28,118.5,119.93,118.17,4.99M,1.08%
9/11/2020,118,116.76,119.25,116.42,8.57M,2.80%
9/10/2020,114.79,115.9,118.23,114,5.03M,-0.10%
9/9/2020,114.9,113.02,116.21,112.83,6.00M,1.93%
9/8/2020,112.72,111.29,113.84,110.54,5.30M,0.28%
9/4/2020,112.4,112.96,113.75,110.21,5.16M,-0.40%
9/3/2020,112.85,116.8,116.9,112,7.26M,-3.38%
9/2/2020,116.8,115.06,117.41,114.5,6.78M,1.71%
9/1/2020,114.84,112,114.9,111.83,4.91M,2.64%
8/31/2020,111.89,112.14,112.52,111.14,3.52M,-0.36%
8/28/2020,112.29,111.01,112.67,110.57,3.73M,1.31%
8/27/2020,110.84,111.99,112.79,110.5,4.39M,-0.62%
8/26/2020,111.53,111.92,112.09,111.29,4.48M,0.02%
8/25/2020,111.51,112,112.28,111.09,4.38M,-0.29%
8/24/2020,111.83,110,112,109.9,8.17M,1.90%
8/21/2020,109.75,108,109.77,107.75,5.56M,1.61%
8/20/2020,108.01,107.56,108.74,107.35,4.30M,-0.35%
8/19/2020,108.39,107.69,109.69,107.35,9.51M,1.33%
8/18/2020,106.97,106.46,107,105.47,5.02M,1.24%
8/17/2020,105.66,106.5,106.5,105.11,3.02M,-0.72%
8/14/2020,106.43,106.12,106.78,105.46,2.99M,-0.08%
8/13/2020,106.52,105.3,106.99,105.2,4.28M,1.24%
8/12/2020,105.22,105.72,105.89,103.38,4.72M,0.10%
8/11/2020,105.12,106.85,107.33,104.86,5.40M,-0.28%
8/10/2020,105.41,102.47,106.83,102.4,12.68M,3.49%
8/7/2020,101.86,101,101.91,99.89,5.55M,1.40%
8/6/2020,100.45,100.64,101.18,100.03,4.06M,-0.49%
8/5/2020,100.94,97.12,101.25,97.08,7.23M,3.71%
8/4/2020,97.33,97.79,97.95,96.55,7.54M,-1.02%
8/3/2020,98.33,98.03,99.29,97.82,5.47M,0.74%
7/31/2020,97.61,96.89,97.65,96.3,5.51M,0.82%
7/30/2020,96.82,96.47,97.23,95.8,4.02M,-0.15%
7/29/2020,96.97,96.43,97.55,96.29,6.87M,0.73%
7/28/2020,96.27,96.95,97.47,96.16,3.82M,-0.97%
7/27/2020,97.21,96.96,98.4,96.89,4.27M,-1.24%
7/24/2020,98.43,98.14,99.36,97.7,5.64M,0.13%
7/23/2020,98.3,98.35,100.18,97.72,4.53M,-0.62%
7/22/2020,98.91,98.16,98.99,97.91,4.10M,0.56%
7/21/2020,98.36,96.92,99,96.1,5.86M,2.83%
7/20/2020,95.65,95.5,96.35,95.11,5.82M,-0.65%
7/17/2020,96.28,96.95,97.23,96.04,7.41M,-1.01%
7/16/2020,97.26,97.5,98.23,97.04,3.60M,-1.30%
7/15/2020,98.54,98.41,99.04,97.31,5.34M,1.84%
7/14/2020,96.76,96.33,97.25,95.51,4.85M,0.31%
7/13/2020,96.46,98.25,98.94,96.26,4.85M,-1.56%
7/10/2020,97.99,97,98.05,95.72,3.97M,1.03%
7/9/2020,96.99,98.55,98.91,96.37,6.28M,-1.87%
7/8/2020,98.84,97.5,98.98,96.96,5.63M,1.82%
7/7/2020,97.07,99.22,99.55,96.92,6.35M,-2.88%
7/6/2020,99.95,99.62,100.03,99.04,5.00M,1.54%
7/2/2020,98.43,98.78,99.66,98.02,5.36M,1.06%
7/1/2020,97.4,98.5,98.72,97.11,5.73M,-0.66%
6/30/2020,98.05,96,98.3,95.64,9.07M,2.27%
6/29/2020,95.87,93.7,96,93.7,9.62M,2.35%
6/26/2020,93.67,98.5,98.78,93.57,24.92M,-7.62%
6/25/2020,101.4,99.23,101.68,98.8,11.53M,1.32%
6/24/2020,100.08,100.94,101.85,98.09,8.61M,-1.81%
6/23/2020,101.92,101.15,102.22,100.71,6.50M,2.42%
6/22/2020,99.51,96.85,99.54,96.02,6.92M,3.89%
6/19/2020,95.78,99.97,99.98,95.78,10.30M,-2.71%
6/18/2020,98.45,98.69,99.42,97.85,4.39M,-0.77%
6/17/2020,99.21,99,100.24,98.89,3.41M,0.17%
6/16/2020,99.04,101.25,101.34,97.72,6.06M,1.23%
6/15/2020,97.84,93.9,98.08,93.44,8.65M,1.46%
6/12/2020,96.43,97.8,97.8,94.74,7.42M,1.32%
6/11/2020,95.17,98.38,98.99,94.88,10.98M,-6.81%
6/10/2020,102.12,103,103.15,101.71,5.19M,-0.50%
6/9/2020,102.63,102.82,103.77,102.43,5.39M,-1.59%
6/8/2020,104.29,103.05,104.3,102.71,6.17M,1.54%
6/5/2020,102.71,104,104.69,102.13,8.36M,1.41%
6/4/2020,101.28,103.66,103.9,100.47,8.78M,-2.72%
6/3/2020,104.11,101.26,104.55,101.12,5.87M,3.35%
6/2/2020,100.74,99.42,100.88,98.82,10.80M,1.21%
6/1/2020,99.54,98.4,99.78,97.89,4.30M,0.97%
5/29/2020,98.58,98.19,99.25,96.93,10.33M,0.12%
5/28/2020,98.46,100.09,100.69,98.25,7.26M,-1.41%
5/27/2020,99.87,98.12,99.99,97.62,7.92M,3.36%
5/26/2020,96.62,95.98,97.43,95.28,7.19M,3.06%
5/22/2020,93.75,94.42,94.65,93.35,4.05M,-0.54%
5/21/2020,94.26,92.88,94.38,92.37,7.50M,1.41%
5/20/2020,92.95,93.2,93.86,92.7,6.35M,1.57%
5/19/2020,91.51,90.85,93.82,90.82,6.51M,0.52%
5/18/2020,91.04,90.49,91.6,89.88,8.52M,4.66%
5/15/2020,86.99,85.25,87.23,84.88,9.16M,0.51%
5/14/2020,86.55,85,86.58,84.11,7.43M,0.62%
5/13/2020,86.02,87.38,87.74,85.2,6.74M,-2.54%
5/12/2020,88.26,91.53,91.67,88.15,5.62M,-2.94%
5/11/2020,90.93,89.45,91.42,89.14,4.94M,0.52%
