Date,Open,High,Low,Close,Volume
03/01/2021,"64.95","66.73","64.77","66.17","11,758,870"
02/26/2021,"65.54","66.28","64.50","64.51","20,512,570"
02/25/2021,"64.64","66.36","64.59","65.30","15,356,110"
02/24/2021,"64.49","65.15","64.08","64.70","10,609,340"
02/23/2021,"64.42","65.22","64.05","64.50","18,175,420"
02/22/2021,"62.85","64.97","62.28","64.45","20,940,320"
02/19/2021,"62.26","62.36","61.08","61.13","10,905,120"
02/18/2021,"61.81","62.21","61.66","62.07","6,262,831"
02/17/2021,"61.83","62.15","61.36","62.09","6,245,136"
02/16/2021,"63.11","63.26","62.10","62.14","7,526,113"
02/12/2021,"62.32","63.12","62.31","63.08","6,663,628"
02/11/2021,"63.56","63.97","62.28","62.70","7,690,915"
02/10/2021,"63.84","63.90","62.93","63.27","9,577,544"
02/09/2021,"63.08","63.85","62.91","63.67","5,437,365"
02/08/2021,"63.79","63.87","62.84","63.11","7,003,488"
02/05/2021,"63.50","64.07","63.28","63.60","9,170,225"
02/04/2021,"62.48","63.39","62.25","63.35","9,928,668"
02/03/2021,"62.18","62.75","61.98","62.17","9,933,501"
02/02/2021,"61.88","62.92","61.80","62.37","10,528,000"
02/01/2021,"60.92","62.01","60.74","61.51","10,553,530"
01/29/2021,"61.16","61.50","60.21","60.43","11,451,810"
01/28/2021,"62.55","63.24","61.17","61.22","11,166,410"
01/27/2021,"61.40","63.18","61.37","62.55","14,789,030"
01/26/2021,"61.06","62.04","60.84","61.80","8,186,548"
01/25/2021,"60.38","60.95","59.77","60.90","8,524,722"
01/22/2021,"60.94","61.15","59.74","60.36","9,897,003"
01/21/2021,"61.65","61.85","60.92","61.21","6,951,250"
01/20/2021,"61.37","62.03","61.15","61.56","7,025,010"
01/19/2021,"62.10","62.29","61.10","61.29","8,903,369"
01/15/2021,"61.60","62.00","61.21","61.78","7,532,602"
01/14/2021,"62.07","62.17","61.51","61.60","10,258,640"
01/13/2021,"62.32","62.59","61.97","62.06","8,298,324"
01/12/2021,"63.00","63.02","62.18","62.42","7,758,409"
01/11/2021,"62.95","63.57","62.84","63.03","6,286,635"
01/08/2021,"63.18","63.54","62.91","63.38","7,751,661"
01/07/2021,"62.85","63.74","62.85","63.07","7,383,087"
01/06/2021,"62.27","63.35","61.91","62.57","8,685,354"
01/05/2021,"63.68","63.79","62.48","62.96","11,005,680"
01/04/2021,"64.69","64.70","63.17","63.75","11,249,920"
12/31/2020,"64.34","64.77","64.01","64.69","6,928,616"
12/30/2020,"64.80","64.91","64.35","64.40","6,191,976"
12/29/2020,"65.25","65.27","64.23","64.46","7,770,151"
12/28/2020,"65.41","65.69","64.75","64.87","6,463,473"
12/24/2020,"65.05","65.59","64.78","64.96","3,796,498"
12/23/2020,"65.26","66.20","65.15","65.30","13,075,190"
12/22/2020,"64.56","66.00","64.43","65.15","17,148,221"
12/21/2020,"63.89","65.19","63.88","64.48","18,210,160"
12/18/2020,"63.48","65.34","63.43","65.06","33,728,699"
12/17/2020,"62.99","64.05","62.73","63.61","15,320,550"
12/16/2020,"61.87","63.19","61.85","62.78","16,119,880"
12/15/2020,"61.09","62.19","60.90","61.86","15,510,280"
12/14/2020,"60.83","61.66","60.69","60.76","16,193,570"
12/11/2020,"60.94","61.00","59.42","60.61","16,209,930"
12/10/2020,"59.51","59.81","59.04","59.48","14,219,870"
12/09/2020,"58.89","59.91","58.80","59.73","12,204,060"
12/08/2020,"58.99","59.71","58.22","59.03","15,237,800"
12/07/2020,"59.96","60.20","59.63","59.80","14,922,930"
12/04/2020,"59.31","60.55","59.27","59.96","10,872,720"
12/03/2020,"59.22","59.98","59.06","59.27","9,783,917"
12/02/2020,"58.29","59.27","58.14","59.08","9,330,428"
12/01/2020,"58.20","59.28","58.01","58.74","11,856,020"
11/30/2020,"57.61","58.20","57.20","57.72","26,676,920"
