Date,Open,High,Low,Close,Volume
03/01/2021,"33.59","33.93","33.51","33.69","30,407,770"
02/26/2021,"33.84","33.90","33.36","33.49","41,462,754"
02/25/2021,"33.82","34.11","33.54","33.82","37,506,090"
02/24/2021,"33.87","34.05","33.67","33.75","30,686,119"
02/23/2021,"34.00","34.19","33.68","33.91","37,624,168"
02/22/2021,"34.33","34.37","34.04","34.26","34,322,488"
02/19/2021,"34.66","34.68","34.40","34.44","28,145,260"
02/18/2021,"34.78","34.88","34.52","34.56","24,052,520"
02/17/2021,"34.57","35.00","34.46","34.89","26,501,080"
02/16/2021,"34.85","34.86","34.56","34.69","28,730,340"
02/12/2021,"34.44","34.95","34.36","34.72","25,578,650"
02/11/2021,"34.80","34.81","34.28","34.43","30,885,170"
02/10/2021,"35.00","35.08","34.70","34.74","29,039,859"
02/09/2021,"34.80","35.06","34.76","34.97","30,170,180"
02/08/2021,"34.96","35.01","34.74","34.82","31,633,900"
02/05/2021,"34.92","35.08","34.78","34.92","31,749,590"
02/04/2021,"34.81","35.08","34.70","34.89","34,284,898"
02/03/2021,"34.99","35.29","34.78","34.84","38,524,230"
02/02/2021,"35.76","35.78","34.27","34.99","84,062,438"
02/01/2021,"35.93","36.19","35.72","35.80","40,395,809"
01/29/2021,"36.88","36.88","35.62","35.90","60,251,859"
01/28/2021,"35.95","36.33","35.84","35.86","39,466,711"
01/27/2021,"36.99","37.04","36.17","36.24","50,561,180"
01/26/2021,"37.27","37.60","37.16","37.31","27,718,699"
01/25/2021,"36.55","37.29","36.32","37.28","31,728,461"
01/22/2021,"36.32","36.83","36.25","36.55","26,271,160"
01/21/2021,"36.39","36.59","36.15","36.48","33,864,113"
01/20/2021,"36.79","36.81","36.46","36.50","35,400,059"
01/19/2021,"36.76","37.00","36.62","36.73","33,451,281"
01/15/2021,"36.68","36.78","36.40","36.70","34,287,820"
01/14/2021,"36.78","36.96","36.61","36.75","30,271,990"
01/13/2021,"37.00","37.17","36.64","36.86","31,027,869"
01/12/2021,"37.70","37.79","36.82","37.18","47,831,078"
01/11/2021,"37.22","37.83","37.15","37.77","47,326,594"
01/08/2021,"37.16","37.53","36.90","37.13","33,462,371"
01/07/2021,"37.04","37.15","36.67","37.06","27,809,480"
01/06/2021,"36.83","37.48","36.77","36.87","34,962,512"
01/05/2021,"36.72","37.37","36.60","37.19","29,909,381"
01/04/2021,"36.87","36.94","36.27","36.81","33,565,680"
