Date,Open,High,Low,Close,Volume
03/01/2021,"124.16","125.49","124.00","124.29","7,740,158"
02/26/2021,"126.54","126.93","121.82","123.53","17,718,789"
02/25/2021,"127.49","128.99","126.29","126.58","7,790,808"
02/24/2021,"127.35","128.24","126.91","127.66","7,263,025"
02/23/2021,"127.78","129.93","127.19","127.52","10,145,340"
02/22/2021,"126.79","127.24","126.38","126.58","6,975,470"
02/19/2021,"129.35","129.44","127.02","127.12","8,277,918"
02/18/2021,"127.81","129.85","127.59","129.53","6,936,352"
02/17/2021,"127.19","129.49","127.11","128.46","9,188,548"
02/16/2021,"127.97","128.17","126.99","127.92","8,246,039"
02/12/2021,"128.00","128.13","126.58","127.62","8,407,254"
02/11/2021,"128.54","129.33","128.21","128.33","6,139,426"
02/10/2021,"128.75","129.16","127.96","128.22","8,594,089"
02/09/2021,"129.46","129.94","128.23","128.67","5,917,783"
02/08/2021,"129.93","130.10","128.11","129.17","7,011,334"
02/05/2021,"129.12","130.10","129.03","129.57","5,063,663"
02/04/2021,"129.38","129.46","128.58","129.03","6,613,694"
02/03/2021,"128.95","129.20","127.75","128.95","7,309,656"
02/02/2021,"129.60","130.72","128.69","128.79","6,825,630"
02/01/2021,"129.00","129.66","128.20","128.97","6,534,168"
01/29/2021,"130.19","130.29","128.07","128.21","8,344,091"
01/28/2021,"127.84","131.65","127.44","130.36","8,242,252"
01/27/2021,"132.39","133.10","127.70","128.38","10,826,690"
01/26/2021,"132.25","133.47","131.43","133.09","5,996,689"
01/25/2021,"129.95","133.00","129.90","132.24","9,639,958"
01/22/2021,"131.02","131.47","129.99","130.00","7,202,837"
01/21/2021,"130.65","131.99","130.51","131.01","8,765,692"
01/20/2021,"132.53","133.80","131.26","131.93","12,506,630"
01/19/2021,"135.70","136.36","133.56","133.60","9,184,920"
01/15/2021,"135.25","136.20","134.66","134.78","7,757,624"
01/14/2021,"137.43","137.65","135.28","135.80","6,172,796"
01/13/2021,"137.10","138.07","137.10","137.26","6,078,874"
