Date,Open,High,Low,Close,Volume
03/01/2021,"230.04","290.67","228.35","239.48","81,408,811"
02/26/2021,"233.33","235.57","219.84","225.17","123,267,632"
02/25/2021,"242.05","245.74","223.53","227.41","117,071,699"
02/24/2021,"237.28","248.33","231.39","247.34","110,300,974"
02/23/2021,"220.71","237.87","206.33","232.95","199,820,857"
02/22/2021,"254.21","256.17","236.73","238.17","111,809,274"
02/19/2021,"265.00","265.60","259.12","260.43","56,874,839"
02/18/2021,"260.30","264.90","258.76","262.46","53,871,239"
02/17/2021,"259.70","266.61","254.00","266.05","78,236,776"
02/16/2021,"272.67","273.67","264.15","265.41","59,407,022"
02/12/2021,"267.09","272.44","261.78","272.04","71,305,010"
02/11/2021,"270.81","276.63","267.24","270.55","64,868,318"
02/10/2021,"281.21","281.61","266.67","268.27","108,648,383"
02/09/2021,"285.04","286.60","280.58","283.15","45,472,997"
02/08/2021,"289.89","292.59","284.92","287.81","60,485,226"
02/05/2021,"281.67","288.26","279.66","284.08","55,699,981"
02/04/2021,"285.00","285.50","277.81","283.33","47,438,029"
02/03/2021,"292.34","292.69","284.35","284.90","55,030,587"
02/02/2021,"281.56","293.50","280.73","290.93","73,038,709"
02/01/2021,"271.43","280.67","265.19","279.94","76,174,252"
01/29/2021,"276.67","280.80","260.03","264.51","104,972,371"
01/28/2021,"273.33","282.67","267.00","278.48","79,134,229"
01/27/2021,"290.12","297.17","286.22","288.05","82,001,968"
01/26/2021,"297.13","298.63","290.53","294.36","69,394,872"
01/25/2021,"285.00","300.13","279.61","293.60","123,520,323"
01/22/2021,"278.10","282.67","276.21","282.21","60,199,563"
01/21/2021,"285.00","285.24","280.47","281.66","61,794,457"
01/20/2021,"286.25","286.50","279.09","283.48","76,997,723"
01/19/2021,"279.27","283.33","277.67","281.52","76,101,016"
01/15/2021,"284.00","286.63","273.03","275.39","116,332,927"
01/14/2021,"281.13","287.67","279.58","281.67","93,799,082"
01/13/2021,"284.25","286.82","277.33","284.80","99,937,592"
01/12/2021,"277.00","289.33","275.78","283.15","138,812,302"
01/11/2021,"283.13","284.81","267.87","270.40","178,662,621"
01/08/2021,"285.33","294.83","279.46","293.34","225,166,828"
01/07/2021,"259.21","272.33","258.40","272.01","154,497,008"
01/06/2021,"252.83","258.00","249.70","251.99","134,100,047"
01/05/2021,"241.22","246.95","239.73","245.04","96,735,611"
01/04/2021,"239.82","248.16","239.06","243.26","145,914,737"
12/31/2020,"233.33","239.57","230.37","235.22","148,949,921"
12/30/2020,"224.00","232.20","222.79","231.59","128,538,194"
12/29/2020,"220.33","223.30","218.33","222.00","68,732,499"
12/28/2020,"224.84","227.13","220.27","221.23","96,835,784"
12/24/2020,"214.33","222.03","213.67","220.59","68,596,775"
12/23/2020,"210.73","217.17","207.52","215.33","99,519,011"
12/22/2020,"216.00","216.63","204.74","213.45","155,585,073"
12/21/2020,"222.08","222.83","215.36","216.62","174,135,979"
12/18/2020,"222.97","231.67","209.51","231.67","666,379,303"
12/17/2020,"209.40","219.61","206.50","218.63","168,810,599"
12/16/2020,"209.41","210.83","201.67","207.59","126,287,559"
12/15/2020,"214.43","215.63","207.93","211.08","135,670,818"
12/14/2020,"206.33","214.25","203.40","213.28","156,122,098"
12/11/2020,"205.00","208.00","198.93","203.33","139,425,040"
12/10/2020,"191.46","209.25","188.78","209.02","201,249,654"
12/09/2020,"217.90","218.11","196.00","201.49","213,873,808"
12/08/2020,"208.50","217.09","206.17","216.63","192,795,282"
12/07/2020,"201.64","216.26","201.02","213.92","168,929,309"
12/04/2020,"197.00","199.68","195.17","199.68","88,204,025"
12/03/2020,"196.67","199.66","194.14","197.79","127,656,133"
12/02/2020,"185.48","190.51","180.40","189.61","143,327,093"
12/01/2020,"199.20","199.28","190.68","194.92","121,148,622"
11/30/2020,"200.74","202.60","184.84","189.20","189,009,326"
11/27/2020,"193.72","199.59","192.82","195.25","112,683,351"
11/25/2020,"183.35","191.33","181.79","191.33","146,790,645"
11/24/2020,"180.13","186.66","175.40","185.13","160,945,620"
11/23/2020,"167.83","175.33","167.26","173.95","150,781,060"
11/20/2020,"166.00","167.50","163.02","163.20","98,735,869"
11/19/2020,"164.00","169.54","162.52","166.42","187,426,239"
11/18/2020,"149.45","165.33","147.83","162.21","234,132,292"
11/17/2020,"153.39","154.00","144.34","147.20","183,565,022"
11/16/2020,"136.31","137.48","134.70","136.03","80,516,001"
11/13/2020,"136.95","137.51","133.89","136.17","59,491,112"
11/12/2020,"138.35","141.00","136.51","137.25","59,821,562"
11/11/2020,"138.82","139.56","136.86","139.04","52,073,217"
11/10/2020,"140.03","140.03","132.01","136.79","90,852,758"
