Date,Open,High,Low,Close,Volume
03/01/2021,"334.36","338.91","333.68","334.65","4,199,115"
02/26/2021,"330.55","337.91","329.85","332.22","5,430,019"
02/25/2021,"331.00","333.60","327.36","328.87","2,780,100"
02/24/2021,"328.49","333.60","326.04","332.21","3,360,533"
02/23/2021,"329.99","333.94","326.64","329.51","3,225,724"
02/22/2021,"321.50","329.05","320.35","327.64","2,688,464"
02/19/2021,"328.75","328.85","324.11","324.58","2,313,753"
02/18/2021,"325.90","329.58","325.20","328.41","2,385,100"
02/17/2021,"323.46","328.60","322.24","326.86","2,637,714"
02/16/2021,"327.36","329.84","322.48","324.62","4,339,162"
02/12/2021,"331.68","332.40","327.88","328.24","2,760,970"
02/11/2021,"335.00","336.65","331.50","333.07","2,776,664"
02/10/2021,"332.66","335.76","329.77","333.40","4,122,733"
02/09/2021,"323.90","331.04","321.71","329.63","4,096,905"
02/08/2021,"327.01","327.02","323.81","324.34","4,758,181"
02/05/2021,"332.11","333.48","323.48","324.51","7,227,908"
02/04/2021,"332.32","335.29","328.39","329.32","5,962,249"
02/03/2021,"338.00","340.16","334.60","337.89","2,537,417"
02/02/2021,"337.10","344.64","337.10","338.72","2,663,668"
02/01/2021,"335.03","338.15","332.74","334.00","3,020,168"
01/29/2021,"336.53","339.02","330.63","333.58","3,899,501"
01/28/2021,"336.64","346.58","334.51","338.15","2,770,191"
01/27/2021,"337.04","338.00","329.01","332.99","4,770,898"
01/26/2021,"350.51","351.51","342.57","343.11","2,467,549"
01/25/2021,"347.15","350.39","344.60","347.81","2,506,366"
01/22/2021,"353.31","354.62","347.54","347.55","2,585,351"
01/21/2021,"350.81","360.89","350.74","355.00","3,750,194"
01/20/2021,"351.88","352.08","345.83","350.84","3,036,808"
01/19/2021,"356.21","356.96","351.56","352.19","3,361,269"
01/15/2021,"349.12","353.05","345.74","351.30","3,776,994"
01/14/2021,"356.85","358.81","350.42","350.53","2,919,879"
01/13/2021,"356.04","356.81","351.23","355.04","1,974,477"
01/12/2021,"357.94","360.08","355.23","357.37","2,372,762"
01/11/2021,"362.62","364.29","359.19","360.75","2,695,180"
01/08/2021,"367.00","367.49","358.76","363.39","2,948,002"
01/07/2021,"358.54","366.45","357.92","365.03","3,366,710"
01/06/2021,"337.11","359.49","335.11","359.27","6,561,435"
01/05/2021,"348.69","351.36","344.48","344.80","3,160,458"
01/04/2021,"351.45","352.08","340.38","349.50","4,203,821"
12/31/2020,"345.04","351.09","344.05","350.68","1,969,227"
12/30/2020,"347.08","349.01","344.47","344.99","1,866,024"
12/29/2020,"347.99","351.29","345.00","347.35","2,275,855"
12/28/2020,"343.21","347.79","343.06","345.95","2,308,222"
12/24/2020,"336.44","341.41","336.44","340.79","1,360,598"
12/23/2020,"336.49","341.65","336.03","337.59","2,348,234"
12/22/2020,"335.16","336.98","333.47","335.01","2,069,883"
12/21/2020,"332.07","336.95","329.40","336.08","2,893,022"
12/18/2020,"342.52","342.61","334.00","338.38","8,743,007"
12/17/2020,"339.81","342.60","337.31","341.67","2,525,662"
12/16/2020,"336.83","341.66","334.26","339.34","2,365,672"
12/15/2020,"339.14","341.01","337.04","339.67","2,616,862"
12/14/2020,"340.03","343.23","335.86","336.13","2,478,953"
12/11/2020,"338.13","338.88","334.33","337.07","3,071,737"
12/10/2020,"345.16","345.46","339.26","339.65","2,896,940"
12/09/2020,"348.89","349.41","341.61","344.41","2,600,442"
12/08/2020,"344.75","349.90","344.08","347.86","2,471,262"
12/07/2020,"348.72","349.89","345.22","347.86","2,999,382"
12/04/2020,"346.00","351.47","345.75","349.89","3,255,426"
12/03/2020,"347.90","352.77","346.49","348.68","4,169,186"
12/02/2020,"341.77","351.83","341.50","347.56","2,864,281"
12/01/2020,"344.77","354.10","339.93","341.19","3,817,785"
11/30/2020,"335.11","337.94","330.29","336.34","5,265,707"
11/27/2020,"333.53","338.90","331.84","337.94","1,558,621"
11/25/2020,"338.82","338.82","329.14","333.19","3,145,335"
11/24/2020,"336.18","340.00","334.43","336.01","3,759,980"
11/23/2020,"335.55","336.26","331.59","335.06","2,538,118"
11/20/2020,"335.00","337.66","331.71","334.70","3,702,637"
11/19/2020,"342.29","343.07","334.33","337.00","3,935,570"
11/18/2020,"353.43","354.05","343.09","344.51","2,722,477"
11/17/2020,"352.39","353.36","347.50","352.10","2,557,624"
11/16/2020,"358.95","359.58","351.01","356.82","2,790,381"
11/13/2020,"356.86","357.94","352.79","355.67","2,442,331"
11/12/2020,"351.40","360.52","349.75","354.41","2,908,228"
11/11/2020,"356.16","356.81","349.41","351.70","2,048,494"
11/10/2020,"349.49","355.90","348.17","353.69","3,733,236"
11/09/2020,"366.31","367.95","348.98","350.00","4,635,344"
11/06/2020,"350.36","352.00","344.57","347.46","2,994,932"
11/05/2020,"358.07","360.98","349.68","354.40","4,786,472"
11/04/2020,"345.23","360.44","341.14","354.56","10,344,920"
11/03/2020,"317.47","326.44","315.02","321.35","4,043,876"
11/02/2020,"312.64","312.64","307.36","312.10","4,519,209"
10/30/2020,"303.23","307.17","299.60","305.14","3,557,355"
10/29/2020,"306.59","309.48","301.46","303.68","3,279,189"
10/28/2020,"313.33","317.81","307.44","308.00","3,301,655"
10/27/2020,"323.06","323.50","319.43","320.51","2,427,684"
10/26/2020,"326.32","327.75","318.54","323.06","2,408,460"
10/23/2020,"329.16","335.65","328.13","330.60","2,349,525"
10/22/2020,"322.32","328.06","322.25","325.73","2,100,739"
10/21/2020,"323.41","326.49","322.18","322.79","2,139,034"
10/20/2020,"326.62","328.62","323.28","323.41","1,988,669"
10/19/2020,"328.54","330.78","322.06","324.22","2,482,339"
10/16/2020,"325.46","332.35","324.73","329.90","3,293,344"
10/15/2020,"318.85","326.97","316.33","324.57","3,172,686"
10/14/2020,"322.07","330.57","320.20","321.85","4,455,722"
10/13/2020,"328.50","333.70","327.71","331.42","2,713,530"
10/12/2020,"329.12","333.56","329.01","329.97","2,424,163"
10/09/2020,"324.66","328.17","323.92","327.84","2,028,946"
10/08/2020,"323.43","325.35","320.99","322.41","2,056,700"
10/07/2020,"315.82","324.74","315.82","323.17","2,596,552"
10/06/2020,"318.95","320.30","313.49","314.45","2,434,408"
10/05/2020,"315.07","318.42","313.12","318.15","1,638,618"
10/02/2020,"312.10","317.39","308.36","311.98","2,338,048"
10/01/2020,"312.91","315.17","309.15","313.07","2,731,236"
09/30/2020,"304.02","314.52","303.99","311.77","3,497,316"
09/29/2020,"303.67","305.50","300.68","304.15","1,797,818"
09/28/2020,"306.39","310.01","302.83","303.23","2,575,710"
09/25/2020,"291.25","303.27","291.22","302.50","2,455,819"
09/24/2020,"292.19","294.93","289.64","292.66","2,869,110"
09/23/2020,"295.00","296.10","291.83","292.14","3,710,122"
09/22/2020,"298.44","300.62","292.92","294.26","3,163,604"
09/21/2020,"300.47","300.53","291.66","299.19","4,124,741"
09/18/2020,"305.01","310.39","303.77","308.02","3,795,806"
09/17/2020,"304.50","307.38","302.11","304.98","2,394,205"
09/16/2020,"309.07","312.25","306.20","306.52","3,438,228"
09/15/2020,"310.05","311.46","306.05","307.23","1,468,486"
09/14/2020,"303.01","311.12","303.01","308.57","1,795,515"
09/11/2020,"305.07","306.46","297.29","301.48","3,086,088"
09/10/2020,"312.73","314.44","303.72","304.60","2,421,619"
09/09/2020,"309.68","315.32","308.42","312.02","2,195,680"
09/08/2020,"311.03","311.46","303.83","307.25","2,594,530"
09/04/2020,"316.48","317.83","306.63","312.00","2,901,147"
09/03/2020,"322.00","323.82","313.73","316.23","3,872,533"
09/02/2020,"312.56","321.28","312.56","320.24","2,846,460"
09/01/2020,"310.16","314.72","310.00","312.83","2,487,188"
08/31/2020,"314.89","319.56","312.54","312.55","4,341,556"
08/28/2020,"312.34","315.82","308.97","314.37","2,883,586"
08/27/2020,"310.41","314.78","305.49","311.67","2,321,100"
08/26/2020,"310.98","311.36","303.61","308.82","3,178,972"
08/25/2020,"312.20","312.36","307.80","312.22","1,879,520"
08/24/2020,"316.81","316.90","306.49","308.84","2,922,446"
08/21/2020,"311.28","315.28","310.09","314.14","2,488,477"
08/20/2020,"314.83","315.28","312.01","313.33","2,245,791"
08/19/2020,"316.77","319.49","315.18","315.40","2,066,691"
08/18/2020,"321.98","322.67","315.71","316.81","2,520,285"
08/17/2020,"321.45","323.80","319.35","320.51","2,772,468"
08/14/2020,"320.54","323.93","318.73","323.70","1,787,375"
08/13/2020,"320.68","321.87","317.84","321.52","2,159,587"
08/12/2020,"318.00","323.29","317.64","322.27","2,916,495"
08/11/2020,"322.92","324.57","314.66","315.55","3,018,248"
08/10/2020,"317.00","320.47","315.58","319.10","2,563,849"
08/07/2020,"313.34","319.00","313.34","317.03","2,600,751"
08/06/2020,"312.00","316.24","310.40","314.06","3,305,601"
08/05/2020,"306.83","312.96","305.02","312.47","3,014,732"
08/04/2020,"301.91","308.86","300.07","304.50","3,595,182"
08/03/2020,"303.59","304.91","299.20","303.61","2,628,889"
07/31/2020,"303.44","303.74","298.05","302.78","3,913,650"
07/30/2020,"301.68","306.46","298.89","305.23","2,205,343"
07/29/2020,"301.46","309.75","300.00","306.68","2,672,724"
07/28/2020,"297.89","301.40","297.21","299.93","2,257,492"
07/27/2020,"298.43","302.13","297.37","298.60","2,060,506"
07/24/2020,"303.33","304.28","299.23","300.79","2,415,759"
07/23/2020,"308.20","308.50","301.27","302.97","2,367,675"
07/22/2020,"304.86","306.91","301.81","306.71","1,935,771"
07/21/2020,"305.03","307.00","303.11","305.11","2,341,560"
07/20/2020,"306.79","308.60","302.38","303.46","2,375,525"
07/17/2020,"309.09","310.97","306.25","306.53","3,016,846"
07/16/2020,"305.01","310.85","303.16","307.15","3,844,474"
07/15/2020,"301.12","310.69","298.66","304.07","5,116,869"
07/14/2020,"297.81","309.74","296.71","308.52","4,234,881"
07/13/2020,"292.09","304.52","291.77","299.71","4,263,348"
07/10/2020,"294.24","294.24","287.10","291.23","2,391,717"
07/09/2020,"295.10","298.55","287.50","291.16","3,061,657"
07/08/2020,"297.35","300.87","295.68","298.36","1,987,357"
07/07/2020,"300.66","303.56","295.95","296.65","2,075,730"
07/06/2020,"303.00","303.49","299.33","302.81","2,395,034"
07/02/2020,"300.50","303.08","297.18","298.26","1,971,954"
07/01/2020,"295.83","300.40","295.24","297.73","2,304,052"
06/30/2020,"288.57","296.45","287.66","294.95","2,932,930"
06/29/2020,"288.45","292.28","286.62","289.76","2,356,713"
06/26/2020,"295.14","296.58","285.82","286.88","5,043,234"
06/25/2020,"288.28","296.78","286.06","296.22","3,112,537"
06/24/2020,"293.99","297.10","285.57","289.18","3,399,868"
06/23/2020,"294.01","299.28","291.07","297.60","4,023,457"
06/22/2020,"289.79","293.00","286.26","292.67","2,174,051"
06/19/2020,"294.43","296.52","290.91","291.24","5,168,477"
06/18/2020,"290.43","291.78","286.60","291.48","2,926,573"
06/17/2020,"295.10","295.10","291.23","292.60","2,538,430"
06/16/2020,"295.44","297.57","287.44","293.00","4,248,308"
