Date,Open,High,Low,Close,Volume
03/01/2021,"37.11","37.42","36.74","37.09","28,066,090"
02/26/2021,"37.10","37.41","35.93","36.17","39,467,961"
02/25/2021,"38.68","38.68","37.30","37.56","37,233,059"
02/24/2021,"37.24","38.34","37.14","38.29","42,764,312"
02/23/2021,"37.59","37.77","36.61","37.14","36,792,512"
02/22/2021,"37.68","37.93","37.10","37.26","34,689,969"
02/19/2021,"37.13","37.85","37.03","37.83","39,022,961"
02/18/2021,"36.44","37.36","36.18","36.96","43,334,711"
02/17/2021,"34.34","37.45","34.03","36.59","80,326,750"
02/16/2021,"34.07","34.93","34.00","34.79","36,468,246"
02/12/2021,"32.65","33.62","32.65","33.53","34,473,047"
02/11/2021,"33.20","33.34","32.37","32.72","22,393,221"
02/10/2021,"33.48","33.69","33.09","33.20","22,687,029"
02/09/2021,"33.21","33.41","32.91","33.26","23,539,760"
02/08/2021,"32.78","33.57","30.77","33.40","29,223,801"
02/05/2021,"33.00","33.19","32.51","32.56","24,908,131"
02/04/2021,"31.87","32.85","31.80","32.66","30,825,420"
02/03/2021,"30.72","31.77","30.61","31.70","28,507,779"
02/02/2021,"30.46","31.19","30.38","30.75","25,302,881"
02/01/2021,"30.14","30.22","29.68","29.99","23,713,449"
01/29/2021,"30.77","31.19","29.82","29.88","39,500,820"
01/28/2021,"30.53","31.05","30.31","30.81","28,770,180"
01/27/2021,"30.92","31.03","29.92","30.17","45,074,953"
01/26/2021,"32.49","32.53","31.36","31.38","28,026,461"
01/25/2021,"31.88","32.35","31.62","32.24","28,515,510"
01/22/2021,"31.34","32.06","31.15","31.90","24,476,090"
01/21/2021,"32.32","32.43","31.92","32.00","28,276,010"
01/20/2021,"32.78","32.83","32.30","32.46","29,949,850"
01/19/2021,"32.41","33.04","32.28","32.63","43,806,832"
01/15/2021,"33.08","33.50","31.82","32.04","91,993,102"
01/14/2021,"34.07","35.10","34.01","34.75","55,856,898"
01/13/2021,"33.82","34.26","33.63","33.80","35,734,809"
01/12/2021,"34.00","34.52","33.66","33.94","59,146,434"
01/11/2021,"32.64","33.56","32.32","33.24","33,798,500"
01/08/2021,"33.61","33.65","32.67","33.19","32,324,740"
01/07/2021,"33.58","34.20","33.32","33.43","50,634,121"
01/06/2021,"31.90","33.00","31.79","32.69","73,507,555"
01/05/2021,"30.09","30.95","29.82","30.53","37,360,008"
01/04/2021,"30.32","30.44","29.40","29.70","31,421,561"
12/31/2020,"29.75","30.24","29.67","30.18","21,081,199"
12/30/2020,"29.80","30.04","29.65","29.75","18,519,311"
12/29/2020,"30.15","30.17","29.75","29.78","19,584,420"
12/28/2020,"30.08","30.48","29.91","29.93","21,658,500"
12/24/2020,"30.29","30.38","29.66","29.84","14,443,730"
12/23/2020,"29.28","30.49","29.27","30.35","38,383,672"
12/22/2020,"29.65","29.72","28.95","28.96","25,705,221"
12/21/2020,"29.57","29.89","28.84","29.55","52,731,621"
12/18/2020,"29.47","29.62","28.80","29.01","53,716,398"
12/17/2020,"29.80","29.90","29.44","29.47","42,870,473"
12/16/2020,"29.64","29.91","29.48","29.65","35,204,820"
12/15/2020,"29.13","29.77","28.90","29.73","38,888,859"
12/14/2020,"29.54","29.78","28.51","28.64","28,378,020"
12/11/2020,"29.02","29.39","28.67","29.08","29,779,109"
12/10/2020,"28.72","29.56","28.54","29.49","31,730,189"
12/09/2020,"29.24","29.24","28.61","29.05","35,276,008"
12/08/2020,"29.03","29.30","28.40","28.94","32,209,490"
12/07/2020,"29.42","29.63","29.07","29.34","31,712,961"
12/04/2020,"29.50","29.97","29.34","29.55","47,168,820"
12/03/2020,"28.94","29.49","28.79","29.16","41,264,621"
12/02/2020,"27.99","28.99","27.85","28.87","35,507,961"
12/01/2020,"28.15","28.68","28.04","28.06","42,001,848"
11/30/2020,"28.43","28.56","27.28","27.35","48,210,961"
11/27/2020,"28.59","28.63","28.18","28.46","20,281,439"
11/25/2020,"28.33","28.69","28.00","28.59","38,875,520"
11/24/2020,"27.46","28.73","27.34","28.61","80,523,352"
11/23/2020,"25.95","26.44","25.87","26.30","40,691,367"
11/20/2020,"26.04","26.23","25.46","25.48","38,469,059"
11/19/2020,"25.19","26.22","24.97","26.16","44,559,961"
11/18/2020,"25.15","25.95","25.06","25.06","44,318,289"
11/17/2020,"24.53","25.15","24.52","25.04","29,490,359"
11/16/2020,"24.99","25.03","24.39","24.90","36,954,809"
11/13/2020,"23.91","24.18","23.73","24.07","30,095,949"
11/12/2020,"23.91","24.15","23.56","23.81","34,541,930"
11/11/2020,"24.23","24.54","24.01","24.19","38,309,199"
11/10/2020,"24.36","24.37","23.86","24.19","49,029,152"
11/09/2020,"24.03","24.87","23.30","24.22","102,118,898"
11/06/2020,"22.50","22.57","21.84","21.91","29,502,891"
11/05/2020,"21.89","22.57","21.86","22.33","38,319,688"
11/04/2020,"21.75","22.56","21.17","21.88","47,203,199"
11/03/2020,"22.31","22.50","21.99","22.09","38,427,020"
11/02/2020,"21.70","21.98","21.19","21.90","38,401,199"
10/30/2020,"21.10","21.46","20.84","21.45","34,608,762"
10/29/2020,"21.05","21.38","20.76","21.14","46,183,953"
10/28/2020,"21.23","21.48","20.80","21.18","54,835,941"
10/27/2020,"22.61","22.61","21.82","21.82","49,636,449"
10/26/2020,"22.97","23.02","22.60","22.70","34,034,102"
10/23/2020,"23.58","23.59","23.12","23.28","24,558,350"
10/22/2020,"22.66","23.32","22.61","23.25","32,238,260"
10/21/2020,"22.82","22.95","22.60","22.70","29,528,301"
10/20/2020,"22.73","23.13","22.69","22.81","34,751,207"
10/19/2020,"22.89","22.91","22.51","22.54","37,423,641"
10/16/2020,"23.01","23.23","22.61","22.86","43,141,246"
10/15/2020,"23.06","23.09","22.75","22.95","60,328,594"
10/14/2020,"24.27","24.43","23.23","23.25","75,497,820"
10/13/2020,"25.42","25.50","24.70","24.74","29,939,590"
10/12/2020,"25.20","25.74","25.15","25.68","25,855,590"
10/09/2020,"25.39","25.51","25.01","25.30","28,211,320"
10/08/2020,"24.88","25.33","24.67","25.30","26,483,449"
10/07/2020,"24.42","24.93","24.39","24.81","34,647,281"
10/06/2020,"24.68","25.00","24.04","24.18","30,991,250"
10/05/2020,"24.22","24.60","24.22","24.45","22,607,529"
10/02/2020,"23.15","24.09","23.08","23.99","26,238,580"
10/01/2020,"23.57","23.81","23.16","23.56","38,879,809"
09/30/2020,"23.36","23.87","23.25","23.51","43,071,539"
09/29/2020,"23.72","23.72","23.07","23.26","38,448,039"
09/28/2020,"23.99","24.27","23.76","23.82","41,103,527"
09/25/2020,"23.12","23.71","23.01","23.64","30,229,939"
09/24/2020,"22.96","23.72","22.56","23.32","43,329,113"
09/23/2020,"23.78","24.13","22.83","22.83","45,697,672"
09/22/2020,"23.98","24.36","23.53","23.65","39,839,449"
09/21/2020,"24.45","24.52","23.72","24.04","56,188,352"
09/18/2020,"24.94","25.40","24.90","25.13","115,153,203"
09/17/2020,"25.23","25.43","24.90","25.11","51,531,352"
09/16/2020,"24.87","26.00","24.75","25.71","51,783,219"
09/15/2020,"24.96","25.04","24.56","24.88","41,954,781"
09/14/2020,"24.38","24.97","24.23","24.81","49,787,141"
09/11/2020,"23.92","24.32","23.71","24.27","34,861,090"
09/10/2020,"24.03","24.67","23.86","23.95","54,211,680"
09/09/2020,"24.01","24.07","23.70","23.84","49,427,910"
09/08/2020,"24.28","24.55","23.74","23.97","49,082,910"
09/04/2020,"25.00","25.19","24.25","24.79","48,745,000"
09/03/2020,"24.80","25.36","24.30","24.52","42,349,262"
09/02/2020,"24.01","24.66","23.93","24.57","40,334,000"
09/01/2020,"24.02","24.34","23.74","24.05","30,541,869"
08/31/2020,"24.49","24.51","24.09","24.15","27,615,500"
08/28/2020,"24.75","24.77","24.35","24.69","25,797,330"
08/27/2020,"23.99","24.78","23.97","24.59","36,706,594"
08/26/2020,"24.51","24.58","24.04","24.04","28,348,211"
08/25/2020,"24.74","24.89","24.30","24.61","35,077,312"
08/24/2020,"23.80","24.51","23.61","24.49","36,906,688"
08/21/2020,"23.64","23.91","23.52","23.64","27,198,000"
08/20/2020,"23.74","23.94","23.60","23.75","36,022,141"
08/19/2020,"24.01","24.39","23.84","24.07","33,667,840"
08/18/2020,"24.42","24.45","24.01","24.04","29,680,689"
08/17/2020,"25.03","25.14","24.44","24.47","36,661,699"
08/14/2020,"24.79","25.49","24.64","25.30","26,743,369"
08/13/2020,"24.95","25.23","24.68","25.02","27,387,850"
08/12/2020,"25.98","26.14","24.72","25.19","42,898,641"
08/11/2020,"25.29","26.14","25.20","25.32","55,000,141"
08/10/2020,"25.22","25.48","24.22","24.70","50,602,641"
08/07/2020,"24.13","25.22","24.00","25.07","46,272,398"
08/06/2020,"24.20","24.50","24.12","24.24","44,670,289"
08/05/2020,"24.40","24.75","24.34","24.40","33,157,289"
08/04/2020,"24.20","24.29","24.03","24.22","28,106,900"
08/03/2020,"24.25","24.50","23.90","24.29","27,863,660"
07/31/2020,"24.50","24.66","24.08","24.26","45,570,809"
07/30/2020,"25.19","25.24","24.50","24.65","51,019,207"
07/29/2020,"25.45","25.82","25.00","25.78","31,442,061"
07/28/2020,"25.33","25.70","25.33","25.53","30,505,211"
07/27/2020,"26.02","26.02","25.25","25.49","34,761,047"
07/24/2020,"26.47","26.85","26.20","26.26","39,357,031"
07/23/2020,"26.16","26.51","25.70","26.35","50,790,953"
07/22/2020,"26.13","26.35","25.82","26.26","41,030,488"
07/21/2020,"24.75","26.28","24.71","26.20","58,455,312"
07/20/2020,"24.72","24.88","24.40","24.57","38,682,160"
07/17/2020,"25.49","25.64","24.86","24.95","39,642,340"
07/16/2020,"24.91","26.09","24.82","25.46","48,676,820"
07/15/2020,"24.98","25.55","24.84","25.35","61,714,262"
07/14/2020,"23.92","24.39","23.33","24.25","118,952,602"
07/13/2020,"25.82","26.04","24.94","25.41","51,038,754"
07/10/2020,"24.18","25.53","24.15","25.47","56,483,328"
07/09/2020,"24.50","24.78","23.71","24.04","38,118,871"
07/08/2020,"24.44","24.78","24.07","24.55","38,413,379"
07/07/2020,"25.20","25.22","24.34","24.46","36,920,551"
07/06/2020,"25.82","26.02","24.98","25.49","46,983,102"
07/02/2020,"25.75","26.17","25.10","25.34","37,013,340"
07/01/2020,"25.73","25.96","24.93","25.09","37,509,320"
06/30/2020,"25.21","25.87","25.17","25.60","46,609,953"
06/29/2020,"25.59","25.90","25.26","25.70","43,769,199"
06/26/2020,"26.10","26.40","25.25","25.34","81,172,273"
06/25/2020,"25.96","27.41","25.89","27.37","45,102,199"
06/24/2020,"26.96","27.03","25.99","26.12","57,380,898"
06/23/2020,"27.78","28.29","27.19","27.23","47,279,121"
06/22/2020,"27.27","27.63","26.89","27.35","32,808,328"
06/19/2020,"28.00","28.05","27.01","27.60","71,891,219"
06/18/2020,"27.10","27.93","26.93","27.55","33,670,191"
06/17/2020,"28.50","28.55","27.35","27.45","38,660,809"
06/16/2020,"29.43","29.65","27.77","28.52","52,985,594"
06/15/2020,"26.86","28.39","26.56","28.21","48,311,406"
