Date,Open,High,Low,Close,Volume
03/01/2021,"43.86","44.19","43.71","43.79","34,634,583"
02/26/2021,"43.83","43.94","43.29","43.31","42,470,831"
02/25/2021,"44.37","44.67","43.83","43.98","33,324,725"
02/24/2021,"45.29","45.39","44.35","44.40","46,565,776"
02/23/2021,"45.70","45.80","45.02","45.16","31,300,233"
02/22/2021,"45.91","46.11","45.42","45.90","32,106,663"
02/19/2021,"45.93","46.47","45.89","46.11","36,606,005"
02/18/2021,"46.33","46.90","45.83","45.89","96,927,488"
02/17/2021,"48.22","49.17","48.17","49.07","26,026,722"
02/16/2021,"48.65","48.80","48.31","48.55","27,891,116"
02/12/2021,"48.05","48.20","47.89","48.16","13,423,607"
02/11/2021,"48.05","48.32","47.90","48.01","12,791,473"
02/10/2021,"48.61","48.63","47.85","48.04","18,576,973"
02/09/2021,"48.19","48.77","48.19","48.61","15,907,025"
02/08/2021,"48.27","48.53","48.15","48.34","15,825,367"
02/05/2021,"47.82","48.28","47.51","48.12","20,451,765"
02/04/2021,"47.26","47.73","47.09","47.51","17,346,282"
02/03/2021,"46.89","47.35","46.88","47.07","14,966,812"
02/02/2021,"46.59","47.38","46.48","46.92","27,002,392"
02/01/2021,"46.97","47.16","46.40","46.42","25,945,116"
01/29/2021,"47.73","47.92","46.78","46.83","32,509,144"
01/28/2021,"48.15","48.75","47.88","47.92","22,301,645"
01/27/2021,"48.99","49.29","47.85","47.95","29,910,373"
01/26/2021,"48.54","49.27","48.49","49.17","15,031,501"
01/25/2021,"48.45","48.75","48.09","48.73","19,031,183"
01/22/2021,"48.53","49.11","48.37","48.78","19,219,376"
01/21/2021,"48.45","48.58","48.07","48.28","14,349,870"
01/20/2021,"47.86","48.55","47.63","48.50","23,775,733"
01/19/2021,"48.21","48.36","47.56","47.80","24,123,481"
01/15/2021,"48.38","48.63","47.89","48.21","35,920,504"
01/14/2021,"49.27","49.33","48.68","48.99","23,017,122"
01/13/2021,"49.58","49.69","49.14","49.15","16,069,640"
01/12/2021,"49.67","49.98","49.44","49.66","23,373,453"
01/11/2021,"48.67","49.33","48.67","49.10","26,347,269"
01/08/2021,"48.96","49.00","48.60","48.88","24,478,226"
01/07/2021,"49.21","49.25","48.68","48.88","20,537,931"
01/06/2021,"48.36","49.37","48.34","48.89","21,918,926"
01/05/2021,"48.87","49.02","48.16","48.58","26,497,987"
01/04/2021,"48.10","48.96","48.09","48.84","32,182,264"
12/31/2020,"48.07","48.09","47.62","48.05","17,814,073"
12/30/2020,"48.29","48.38","47.98","48.06","18,751,175"
12/29/2020,"48.55","48.61","47.86","48.10","17,938,159"
12/28/2020,"48.01","48.43","47.78","48.41","19,344,995"
12/24/2020,"47.85","48.13","47.73","47.83","9,054,480"
12/23/2020,"47.85","48.07","47.43","47.74","20,430,471"
12/22/2020,"48.38","48.74","47.71","48.07","37,662,219"
12/21/2020,"48.50","48.89","48.35","48.66","25,553,031"
12/18/2020,"48.87","49.06","48.39","48.65","41,384,263"
12/17/2020,"48.69","48.81","48.38","48.70","30,679,412"
12/16/2020,"48.75","48.96","48.36","48.48","25,651,071"
12/15/2020,"48.51","48.79","48.29","48.53","31,894,533"
12/14/2020,"49.23","49.24","48.47","48.55","25,087,982"
