Date,Open,High,Low,Close,Volume
03/01/2021,"56.47","57.61","56.13","56.40","36,998,312"
02/26/2021,"54.41","55.06","53.12","54.37","35,291,031"
02/25/2021,"56.98","57.25","55.35","55.76","29,670,881"
02/24/2021,"55.19","57.00","54.87","56.70","28,728,641"
02/23/2021,"54.98","55.26","53.74","55.05","33,527,949"
02/22/2021,"52.59","54.81","52.59","54.30","36,435,113"
02/19/2021,"52.11","52.56","51.92","52.37","22,607,160"
02/18/2021,"52.81","52.94","51.86","52.02","20,627,641"
02/17/2021,"52.35","53.27","51.80","52.85","25,552,230"
02/16/2021,"51.96","52.53","51.62","52.04","28,060,141"
02/12/2021,"49.43","50.71","49.41","50.52","19,756,699"
02/11/2021,"50.89","50.93","48.78","49.84","26,972,160"
02/10/2021,"50.63","51.42","50.39","51.12","25,723,789"
02/09/2021,"50.67","50.96","49.77","50.63","28,976,971"
02/08/2021,"50.92","52.36","50.71","52.10","36,998,719"
02/05/2021,"49.18","50.12","49.04","49.95","34,980,141"
02/04/2021,"47.88","48.38","47.25","48.33","25,280,260"
02/03/2021,"45.63","47.67","45.42","47.42","28,459,279"
02/02/2021,"45.81","46.99","45.28","45.63","31,940,400"
02/01/2021,"45.58","45.58","44.29","44.92","24,412,391"
01/29/2021,"45.55","46.04","44.51","44.84","38,961,078"
01/28/2021,"45.94","46.59","45.69","46.06","24,967,250"
01/27/2021,"45.00","46.66","44.53","45.35","32,410,350"
01/26/2021,"47.26","47.86","45.85","45.87","23,976,789"
01/25/2021,"46.90","47.05","46.16","46.90","26,395,840"
01/22/2021,"47.01","47.64","46.64","47.43","23,264,840"
01/21/2021,"49.33","49.39","47.68","48.11","29,058,600"
01/20/2021,"49.11","49.74","48.99","49.53","22,342,400"
01/19/2021,"48.45","49.44","48.35","48.84","24,932,590"
01/15/2021,"48.91","49.08","47.29","47.89","42,411,262"
01/14/2021,"48.50","51.08","48.50","50.31","35,474,762"
01/13/2021,"48.53","48.71","47.69","48.42","29,000,270"
01/12/2021,"47.46","48.17","46.91","47.88","36,915,070"
